paretosat-msh-50secs,paretosat-msh
5400.0,5400.0
994.13,682.9399999999999
1.56,1.45
0.0,0.0
1.5,1.4000000000000001
5400.0,5400.0
5400.0,5400.0
588.77,580.82
5400.0,5400.0
5400.0,5400.0
4.3500000000000005,4.03
5400.0,5400.0
11.299999999999999,11.5
5400.0,5400.0
5400.0,5400.0
108.11,106.99000000000001
5400.0,5400.0
0.04,0.04
893.49,894.22
5400.0,5400.0
5400.0,5400.0
528.66,476.38
0.34,0.35
5400.0,5400.0
5400.0,5400.0
0.36,0.41000000000000003
0.66,0.6900000000000001
0.29000000000000004,0.32
1175.4,1187.98
0.52,0.5700000000000001
0.06999999999999999,0.06
0.11,0.23
0.28,0.26
0.19,0.19
5400.0,5400.0
5400.0,5400.0
0.02,0.02
5400.0,5400.0
5400.0,5400.0
6.98,7.0
156.4,156.67000000000002
7.8999999999999995,7.75
5400.0,5400.0
2.07,1.94
0.02,0.02
5400.0,5400.0
0.22,0.25
5400.0,5400.0
12.26,12.299999999999999
2.9699999999999998,2.98
1.72,1.66
103.0,101.39
0.42,0.47000000000000003
0.9500000000000001,0.97
5400.0,5400.0
0.06,0.06
5400.0,5400.0
0.32,0.35
0.01,0.01
5400.0,5400.0
0.32,0.34
0.87,0.87
1.44,1.3800000000000001
5400.0,5400.0
0.02,0.02
9.75,9.77
12.549999999999999,12.53
0.9,0.86
1.5,1.55
0.18000000000000002,0.18
5400.0,5400.0
0.32,0.33
5400.0,5400.0
3.9,3.92
0.78,0.81
5400.0,5400.0
0.04,0.03
0.9,0.88
3.86,3.92
5400.0,5400.0
13.559999999999999,13.62
5400.0,5400.0
0.12,0.12
1.05,1.09
8.23,8.23
15.62,15.5
5400.0,5400.0
5400.0,5400.0
0.05,0.05
0.09,0.08
0.23,0.2
5400.0,5400.0
3.63,3.8
5400.0,5400.0
5400.0,5400.0
0.05,0.04
0.11,0.1
2.92,2.94
5400.0,5400.0
2.96,2.9099999999999997
157.27,139.39
23.1,23.38
21.889999999999997,21.56
2.25,2.26
5400.0,5400.0
7.84,7.779999999999999
5400.0,5400.0
0.13,0.12
5400.0,5400.0
0.03,0.03
5400.0,5400.0
906.83,1007.5600000000001
21.07,21.16
0.26,0.24
0.14,0.15
1134.21,1946.8400000000001
5400.0,5400.0
5400.0,5400.0
0.02,0.02
10.25,9.790000000000001
5400.0,5400.0
0.58,0.59
5400.0,5400.0
23.560000000000002,23.55
26.06,25.11
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.36,0.23
2.3299999999999996,2.23
0.03,0.02
5400.0,5400.0
0.02,0.02
5400.0,5400.0
987.0500000000001,993.9300000000001
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
2.3699999999999997,2.46
2.36,2.36
2.51,2.63
1.21,1.22
0.39,0.43
0.14,0.13
1358.45,1247.27
5400.0,5400.0
0.08,0.07
0.02,0.02
5400.0,5400.0
5400.0,5400.0
307.68,253.35
5400.0,5400.0
0.09,0.09999999999999999
5400.0,5400.0
2.14,2.14
1.17,1.18
5400.0,5400.0
5400.0,5400.0
0.0,0.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
4.62,4.47
184.67000000000002,209.23
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1378.18,1781.43
5400.0,5400.0
835.2600000000001,874.5899999999999
0.07,0.08
0.02,0.02
5400.0,5400.0
5400.0,5400.0
2746.19,2283.21
623.77,735.8900000000001
5400.0,5400.0
9.9,9.88
4301.150000000001,3948.67
5400.0,5400.0
2.14,2.11
5400.0,5400.0
5400.0,5400.0
12.99,12.99
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
240.82,260.43
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
244.48,299.42
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
2.14,2.17
0.01,0.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1.8,2.0
5400.0,5400.0
5400.0,5400.0
2.1799999999999997,2.13
5400.0,5400.0
