paretosat-msh-50secs,paretosat-msh
5400.0,5400.0
624.17,625.4200000000001
547.55,595.81
1.43,1.51
0.03,0.03
0.0,0.0
1397.78,1400.53
1094.71,1095.66
5400.0,5400.0
391.87,160.77
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.24,0.24
1.82,1.9
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
12.379999999999999,12.879999999999999
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
4.7,5.11
5400.0,5400.0
353.3,297.33000000000004
1417.2,1296.56
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
3.9899999999999998,4.05
5400.0,5400.0
5400.0,5400.0
6.01,5.529999999999999
5400.0,5400.0
3.44,3.3099999999999996
5400.0,5400.0
5400.0,5400.0
0.52,0.51
2.2399999999999998,2.0
5400.0,5400.0
0.02,0.03
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.9,0.88
0.17,0.16
74.28999999999999,74.39999999999999
5400.0,5400.0
3.61,3.6199999999999997
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
3.3099999999999996,7.66
5400.0,5400.0
5400.0,5400.0
360.65,358.33
1.24,1.3
5400.0,5400.0
0.68,0.68
2.47,6.24
0.15000000000000002,0.15000000000000002
1.24,1.24
0.29,0.29000000000000004
66.54,65.69
5400.0,5400.0
5400.0,5400.0
0.07,0.07
520.72,524.4399999999999
0.03,0.03
5400.0,5400.0
5400.0,5400.0
1.32,1.36
0.06,0.06
5400.0,5400.0
1734.1599999999999,1709.95
1.23,1.22
5400.0,5400.0
6.42,6.359999999999999
5400.0,5400.0
5400.0,5400.0
266.07,268.91
5400.0,5400.0
1476.69,1478.12
8.91,8.809999999999999
5400.0,5400.0
0.02,0.02
5400.0,5400.0
0.86,0.86
2405.3900000000003,2398.1000000000004
0.04,0.03
23.61,23.810000000000002
401.67,412.51000000000005
9.959999999999999,9.95
0.06,0.06
1.26,1.3
531.29,550.9300000000001
0.03,0.04
223.19,212.91
0.95,0.96
45.17,46.63
5400.0,5400.0
5400.0,5400.0
0.08,0.08
0.12,0.12
0.38,0.39
4852.06,4881.23
5400.0,5400.0
146.54999999999998,202.09
0.84,0.83
5400.0,5400.0
0.01,0.01
40.81,40.779999999999994
0.06999999999999999,0.07
0.01,0.0
15.0,15.26
5400.0,5400.0
182.63000000000002,179.51
5400.0,5400.0
27.14,27.15
253.63000000000002,261.78999999999996
56.6,57.57
11.129999999999999,11.01
5400.0,5400.0
2.3099999999999996,2.34
1141.6899999999998,787.9200000000001
0.03,0.03
5400.0,5400.0
4.739999999999999,4.819999999999999
5400.0,5400.0
0.03,0.02
0.06,0.06
32.82,33.78
364.17,304.15999999999997
5400.0,5400.0
0.0,0.0
5400.0,5400.0
5.789999999999999,5.89
9.92,9.83
5400.0,5400.0
3.47,3.58
2.4099999999999997,2.53
3.48,3.17
5400.0,5400.0
1.85,2.0399999999999996
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
3369.2,3355.18
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
300.75,256.21000000000004
5400.0,5400.0
2.15,2.11
0.0,0.0
0.03,0.03
1.95,1.84
5400.0,5400.0
2.4099999999999997,2.37
5400.0,5400.0
11.02,11.7
5400.0,5400.0
0.0,0.0
0.04,0.04
5400.0,5400.0
12.11,12.23
5400.0,5400.0
5400.0,5400.0
326.62,319.53000000000003
5400.0,5400.0
2099.5800000000004,2118.76
5400.0,5400.0
1781.24,1774.44
0.12,0.12
5400.0,5400.0
0.98,1.02
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.0,0.0
5400.0,5400.0
24.44,24.13
5400.0,5400.0
14.459999999999999,14.31
5400.0,5400.0
0.01,0.01
23.25,23.560000000000002
75.26,75.03999999999999
0.02,0.02
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.11,0.09
5400.0,5400.0
0.02,0.02
471.36,475.02
5400.0,5400.0
0.0,0.0
0.01,0.01
5.529999999999999,5.4799999999999995
0.34,0.33
23.47,24.32
0.0,0.0
5400.0,5400.0
0.34,0.34
5400.0,5400.0
157.54000000000002,162.18
1465.64,1510.1799999999998
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.23,0.22
5400.0,5400.0
15.75,15.77
0.0,0.0
203.41000000000003,207.23
5400.0,5400.0
5400.0,5400.0
89.93,90.22
5400.0,5400.0
5400.0,5400.0
45.669999999999995,46.120000000000005
5400.0,5400.0
0.13,0.12
43.769999999999996,43.86
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
36.68,36.699999999999996
31.79,32.459999999999994
12.79,12.65
3.5999999999999996,3.7
0.09999999999999999,0.09
5400.0,5400.0
0.46,0.46
34.519999999999996,34.449999999999996
3609.7999999999997,3573.45
0.06999999999999999,0.06
0.0,0.0
0.05,0.05
371.06,366.54
5400.0,5400.0
0.01,0.01
0.33,0.33
5400.0,5400.0
0.31,0.31
1.11,1.12
2642.02,2635.45
5400.0,5400.0
0.24,0.24000000000000002
5400.0,5400.0
0.72,0.72
5400.0,5400.0
0.38,0.36
8.649999999999999,8.76
5400.0,5400.0
0.01,0.02
0.01,0.01
9.42,9.35
4.84,4.829999999999999
5400.0,5400.0
0.06,0.06
5400.0,5400.0
11.549999999999999,11.78
5400.0,5400.0
5400.0,5400.0
14.059999999999999,14.18
0.51,0.51
44.6,43.949999999999996
5400.0,5400.0
2.42,2.48
8.36,22.86
5400.0,5400.0
5400.0,5400.0
28.75,29.25
5400.0,5400.0
1468.69,1468.79
0.01,0.01
3.28,3.32
0.01,0.01
0.31,0.31
5400.0,5400.0
5400.0,5400.0
29.14,28.5
5400.0,5400.0
0.31,0.31
0.63,0.63
5400.0,5400.0
1.39,1.39
2142.5,2140.7000000000003
0.01,0.01
0.8,0.8
5400.0,5400.0
20.700000000000003,20.770000000000003
5400.0,5400.0
5400.0,5400.0
3.4299999999999997,3.4499999999999997
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5.739999999999999,5.8999999999999995
5400.0,5400.0
196.48000000000002,181.84
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
70.79,71.33999999999999
5400.0,5400.0
29.01,29.36
0.01,0.0
5400.0,5400.0
5400.0,5400.0
169.14000000000001,356.0
0.01,0.01
0.01,0.01
5400.0,5400.0
4.43,4.41
5400.0,5400.0
5400.0,5400.0
0.01,0.01
5400.0,5400.0
0.01,0.01
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1.26,1.3
0.8,0.77
0.15000000000000002,0.14
0.8200000000000001,0.8300000000000001
1.0,1.0
0.23,0.25
5400.0,5400.0
0.04,0.03
1827.6499999999999,1824.7099999999998
0.27,0.27
5400.0,5400.0
5400.0,5400.0
0.16,0.16
5400.0,5400.0
1.19,1.19
5400.0,5400.0
5400.0,5400.0
0.06,0.06
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1.03,1.04
5400.0,5400.0
0.06,0.06
2.46,2.4
5400.0,5400.0
0.01,0.01
0.31,0.3
0.01,0.01
5400.0,5400.0
5400.0,5400.0
0.01,0.01
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.79,0.8
22.0,22.27
14.49,14.59
0.88,0.87
5400.0,5400.0
3.4,3.54
9.1,8.889999999999999
