paretosat-msh-70lits,paretosat-msh
0.31,0.35
5400.0,5400.0
114.34,106.99000000000001
1.42,1.4000000000000001
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
894.9,894.22
0.04,0.04
5400.0,5400.0
482.52,476.38
3.36,4.03
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
579.6999999999999,580.82
719.01,682.9399999999999
11.319999999999999,11.5
5400.0,5400.0
1.33,1.45
0.0,0.0
5400.0,5400.0
5400.0,5400.0
0.36,0.41000000000000003
0.83,0.6900000000000001
859.94,717.57
0.29000000000000004,0.32
0.6900000000000001,0.5700000000000001
32.79,23.61
5400.0,5400.0
0.19,0.23
0.33,0.26
0.29000000000000004,0.19
15.08,14.24
2535.67,2168.61
5400.0,5400.0
10.690000000000001,7.0
7.77,7.75
5400.0,5400.0
1.92,1.94
0.0,0.0
0.02,0.02
5400.0,5400.0
0.23,0.25
12.0,12.299999999999999
0.0,0.0
3.2699999999999996,2.98
0.01,0.0
1.66,1.66
100.56,101.39
5400.0,5400.0
0.05,0.06
0.02,0.01
1.6300000000000001,1.79
5400.0,5400.0
5400.0,5400.0
0.66,0.87
1.71,1.3800000000000001
0.02,0.02
0.04,0.05
0.26,0.18
5400.0,5400.0
0.0,0.0
0.01,0.0
5400.0,5400.0
0.04,0.03
0.08,0.09
0.05,0.05
1.07,0.88
16.88,13.62
5400.0,5400.0
0.16,0.12
5400.0,5400.0
8.02,8.23
3.18,2.9099999999999997
5400.0,5400.0
12.42,15.5
5400.0,5400.0
5400.0,5400.0
0.05,0.05
23.34,21.16
0.12,0.08
5400.0,5400.0
6.62,7.779999999999999
4.76,3.8
5400.0,5400.0
4.63,5.6899999999999995
5.289999999999999,3.8
0.05,0.04
0.13,0.1
2.5999999999999996,2.94
0.01,0.02
2.32,2.4099999999999997
5400.0,5400.0
5400.0,5400.0
0.0,0.01
5.27,4.18
5400.0,5400.0
14.13,21.56
0.22,0.22
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.09999999999999999,0.12
5400.0,5400.0
5400.0,5400.0
899.88,1007.5600000000001
0.27,0.24
1.78,2.17
5400.0,5400.0
5400.0,5400.0
1131.38,1946.8400000000001
5400.0,5400.0
5400.0,5400.0
0.02,0.02
11.940000000000001,9.790000000000001
0.7,0.59
0.9400000000000001,0.97
0.97,0.91
21.57,23.55
22.06,25.11
1.15,1.15
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
3.1799999999999997,3.01
5400.0,5400.0
2.4299999999999997,2.35
5351.01,5400.0
0.51,0.46
1.1400000000000001,1.1300000000000001
5400.0,5400.0
5400.0,5400.0
0.76,0.78
5400.0,5400.0
5400.0,5400.0
0.01,0.02
198.18,198.57
5400.0,5400.0
5400.0,5400.0
51.86,52.11
5400.0,5400.0
5400.0,5400.0
2.48,2.46
3.71,2.63
0.02,0.03
0.16,0.13
5400.0,5400.0
5400.0,5400.0
4637.58,3948.67
5400.0,5400.0
0.06999999999999999,0.07
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.14,0.09999999999999999
5400.0,5400.0
16.9,22.48
1.85,2.14
0.55,0.48
5400.0,5400.0
5400.0,5400.0
0.03,0.02
5400.0,5400.0
0.01,0.0
5400.0,5400.0
15.0,20.28
2.28,2.26
5400.0,5400.0
5400.0,5400.0
173.20999999999998,209.23
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1375.33,993.9300000000001
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
2629.42,2283.21
5400.0,5400.0
0.02,0.02
0.76,0.8200000000000001
5400.0,5400.0
5400.0,5400.0
0.5700000000000001,0.5700000000000001
5400.0,5400.0
1.03,1.09
679.89,735.8900000000001
3.45,2.55
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
2.4099999999999997,2.11
5400.0,5400.0
5400.0,5400.0
114.77,117.18
5400.0,5400.0
9.18,1.78
2.41,2.6199999999999997
216.88000000000002,260.43
5400.0,5400.0
2483.17,1875.42
5400.0,5400.0
302.49,190.27
5400.0,5400.0
5400.0,5400.0
0.46,0.47000000000000003
0.0,0.0
5400.0,5400.0
5400.0,5400.0
0.78,0.54
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
18.58,18.53
0.01,0.01
26.36,26.17
0.0,0.0
2.78,2.9099999999999997
2.4699999999999998,2.23
0.08,0.08
22.57,22.59
5400.0,5400.0
322.33,299.42
5400.0,5400.0
0.11,0.09
5400.0,5400.0
8.14,7.97
5400.0,5400.0
1.2,1.18
193.79,182.41
0.02,0.02
208.93,207.21
5400.0,5400.0
0.09,0.06999999999999999
0.03,0.04
0.15000000000000002,0.11
0.09999999999999999,0.07
0.35000000000000003,0.33
0.99,0.45
0.34,0.31
5400.0,5400.0
3.67,3.92
143.95000000000002,156.67000000000002
0.13,0.13
282.84,253.35
5400.0,5400.0
0.66,0.81
0.13,0.12
2522.77,2180.1400000000003
0.01,0.01
2.17,2.13
0.12,0.12
0.94,0.86
0.03,0.02
5400.0,5400.0
2.23,2.0
1.87,1.85
0.62,0.55
5400.0,5400.0
4.7700000000000005,4.859999999999999
1141.0700000000002,1247.27
2.38,2.37
5400.0,5400.0
145.12,139.39
0.18,0.17
39.27,45.5
5400.0,5400.0
0.63,0.98
0.25,0.21
0.9400000000000001,0.74
5400.0,5400.0
5400.0,5400.0
0.01,0.01
0.17,0.2
0.21000000000000002,0.17
5400.0,5400.0
9.729999999999999,9.77
435.16,565.5600000000001
264.13,262.96
5400.0,5400.0
0.35,0.35
5400.0,5400.0
249.57999999999998,249.39000000000001
0.6,0.78
0.3,0.34
2.8499999999999996,3.3099999999999996
9.629999999999999,9.4
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
20.46,12.99
5400.0,5400.0
9.13,9.88
19.099999999999998,12.53
5400.0,5400.0
2.42,2.3899999999999997
966.24,874.5899999999999
0.09,0.08
7.7,3.92
5400.0,5400.0
1418.51,1781.43
6.08,1.55
3.5999999999999996,4.47
15.100000000000001,13.93
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.47000000000000003,0.44
5400.0,5400.0
0.09,0.06
5400.0,5400.0
45.040000000000006,35.980000000000004
265.39000000000004,253.12
5400.0,5400.0
5400.0,5400.0
0.49,0.43
317.28000000000003,314.04
0.3,0.35000000000000003
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.01,0.02
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
25.6,25.88
0.02,0.01
5400.0,5400.0
0.03,0.03
5400.0,5400.0
0.02,0.01
29.009999999999998,23.27
0.02,0.01
5400.0,5400.0
5400.0,5400.0
0.23,0.12
5400.0,5400.0
5400.0,5400.0
0.17,0.15
128.29999999999998,108.03
16.169999999999998,18.36
31.94,51.23
0.4,0.23
3486.92,3675.42
584.81,727.21
3135.3,2789.25
