paretosat-msh-70lits,paretosat-msh
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
4.06,5.11
5400.0,5400.0
568.35,595.81
5400.0,5400.0
1367.11,1400.53
1.93,1.9
5400.0,5400.0
12.209999999999999,12.879999999999999
0.25,0.24
626.92,625.4200000000001
5400.0,5400.0
1.52,1.51
0.0,0.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
148.73999999999998,160.77
1092.1499999999999,1095.66
5400.0,5400.0
0.02,0.03
5400.0,5400.0
348.29,297.33000000000004
313.27,319.53000000000003
1.52,1.3
5400.0,5400.0
57.370000000000005,65.69
307.06,256.21000000000004
1571.76,1709.95
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
4.97,5.529999999999999
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1.74,2.0
2200.13,2140.7000000000003
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.06,0.06
0.01,0.0
0.89,0.88
0.06,0.08
0.0,0.0
85.58,71.33999999999999
73.46,74.39999999999999
5400.0,5400.0
0.0,0.0
0.06,0.07
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
3.26,7.66
5400.0,5400.0
5400.0,5400.0
0.01,0.01
5400.0,5400.0
3.56,3.32
1.31,1.3
5400.0,5400.0
5400.0,5400.0
0.01,0.01
2.19,6.24
0.0,0.01
0.01,0.0
1.32,1.36
5400.0,5400.0
45.89,46.120000000000005
5400.0,5400.0
5400.0,5400.0
0.09,0.06
0.01,0.01
29.439999999999998,28.5
0.31,0.31
1.09,1.22
20.87,20.770000000000003
0.1,0.09
5400.0,5400.0
0.02,0.01
5400.0,5400.0
29.23,29.25
0.13,0.12
5400.0,5400.0
0.02,0.01
5400.0,5400.0
245.68,268.91
5400.0,5400.0
0.92,0.96
9.86,8.809999999999999
0.02,0.02
0.79,0.86
0.85,0.83
5400.0,5400.0
0.03,0.03
25.81,23.810000000000002
5400.0,5400.0
0.0,0.0
0.04,0.04
0.01,0.0
211.37,212.91
2.2199999999999998,2.4
5400.0,5400.0
5400.0,5400.0
0.71,0.8
5400.0,5400.0
0.41000000000000003,0.39
196.12,202.09
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.01,0.01
39.14,43.949999999999996
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
256.65999999999997,261.78999999999996
0.04,0.03
4.33,4.41
4.9799999999999995,4.819999999999999
5400.0,5400.0
5400.0,5400.0
0.03,0.02
5400.0,5400.0
295.39,304.15999999999997
1470.19,1510.1799999999998
5400.0,5400.0
1158.37,787.9200000000001
5.38,5.89
27.21,24.32
5400.0,5400.0
1.52,1.24
5400.0,5400.0
5400.0,5400.0
1.79,2.0399999999999996
8.34,8.889999999999999
5400.0,5400.0
5400.0,5400.0
