bioptsat-msh-bne,bioptsat-msh
10.129999999999999,10.83
920.94,714.2
462.16,469.7
5400.0,5400.0
0.0,0.0
5400.0,5400.0
0.03,0.04
5400.0,5400.0
3.35,3.5
1.22,1.25
5400.0,5400.0
630.96,584.85
0.34,0.35000000000000003
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
93.6,102.55999999999999
1.33,1.4000000000000001
5400.0,5400.0
702.87,784.86
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
88.92,90.14999999999999
0.43,0.4
4414.91,4065.89
12.31,11.700000000000001
13.770000000000001,9.459999999999999
0.0,0.0
0.01,0.01
2.28,2.25
5400.0,5400.0
5400.0,5400.0
17.4,13.51
5400.0,5400.0
20.9,20.66
5400.0,5400.0
5400.0,5400.0
0.19,0.17
0.02,0.01
16.12,11.58
5400.0,5400.0
0.02,0.03
0.01,0.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1348.3700000000001,1506.59
5400.0,5400.0
15.29,14.559999999999999
5400.0,5400.0
186.26999999999998,162.02
5400.0,5400.0
0.74,0.66
2.5199999999999996,2.31
0.68,0.75
5400.0,5400.0
0.13,0.14
5400.0,5400.0
5400.0,5400.0
0.05,0.05
22.740000000000002,22.02
3678.82,4197.4
8.1,8.12
0.03,0.02
5400.0,5400.0
5400.0,5400.0
2.51,2.48
0.02,0.03
0.08,0.08
5400.0,5400.0
5400.0,5400.0
0.19,0.18000000000000002
5400.0,5400.0
5400.0,5400.0
814.36,786.08
5400.0,5400.0
0.14,0.14
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
2.1599999999999997,2.22
2692.6,2568.31
16.62,18.34
0.23,0.22
2.7199999999999998,2.7399999999999998
5400.0,5400.0
5400.0,5400.0
0.32,0.36
5400.0,5400.0
2.4099999999999997,2.57
0.06999999999999999,0.08
5400.0,5400.0
0.03,0.03
5400.0,5400.0
1.11,1.05
0.03,0.02
2.48,3.07
669.23,453.78
1.23,1.16
0.99,0.99
5400.0,5400.0
0.04,0.05
1.6300000000000001,1.59
230.72,246.29
5400.0,5400.0
203.9,165.21
3.76,3.8299999999999996
926.5400000000001,956.4599999999999
5400.0,5400.0
0.88,0.77
5400.0,5400.0
0.49,0.47000000000000003
3.97,2.51
35.019999999999996,21.68
12.57,7.7
5400.0,5400.0
0.59,0.5700000000000001
1.6300000000000001,2.0
5400.0,5400.0
0.09,0.08
5400.0,5400.0
0.44,0.4
2100.1,2217.43
0.09,0.09
0.12,0.12
0.99,0.9400000000000001
0.28,0.21000000000000002
0.11,0.11
218.44,217.6
2056.5,1806.06
6.37,6.47
239.91,257.01
5400.0,5400.0
1.45,1.46
0.19,0.21000000000000002
5400.0,5400.0
198.12,197.27
5400.0,5400.0
0.02,0.01
238.22,280.66
0.01,0.01
5400.0,5400.0
15.0,14.14
5400.0,5400.0
0.02,0.02
5400.0,5400.0
0.79,0.81
2.0799999999999996,2.1
4.680000000000001,4.74
5400.0,5400.0
3.2699999999999996,3.34
5400.0,5400.0
0.0,0.0
24.91,24.75
0.01,0.02
157.10999999999999,160.29999999999998
5400.0,5400.0
5400.0,5400.0
0.91,0.96
0.26,0.31
5400.0,5400.0
23.29,23.919999999999998
5400.0,5400.0
5400.0,5400.0
0.31,0.33
0.04,0.05
0.53,0.57
26.470000000000002,26.23
7.7,8.049999999999999
5400.0,5400.0
5400.0,5400.0
6.16,5.99
0.02,0.02
5400.0,5400.0
101.76,105.35000000000001
0.02,0.02
499.61,481.79
5400.0,5400.0
0.2,0.2
261.93,269.43
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
24.05,18.799999999999997
5400.0,5400.0
5400.0,5400.0
0.46,0.5
35.529999999999994,36.77
0.04,0.04
188.82999999999998,184.14
0.12,0.13
6.77,6.739999999999999
5400.0,5400.0
5400.0,5400.0
1.02,1.05
5400.0,5400.0
0.73,0.8
1.34,1.57
5400.0,5400.0
2.42,2.4
46.0,46.61
2586.99,2346.25
5400.0,5400.0
16.5,16.5
5400.0,5400.0
22.869999999999997,19.86
5400.0,5400.0
0.61,0.65
0.01,0.02
5400.0,5400.0
5400.0,5400.0
293.41,291.8
0.08,0.09
1000.71,1091.28
2.0,2.3099999999999996
5400.0,5400.0
13.87,14.03
5400.0,5400.0
0.34,0.31
0.15,0.18
3.08,3.0199999999999996
1.81,1.74
5400.0,5400.0
0.17,0.16
75.89,125.22000000000001
0.51,0.46
647.11,625.32
335.75,405.03000000000003
5400.0,5400.0
1.95,1.76
5400.0,5400.0
5400.0,5400.0
0.59,0.5700000000000001
5400.0,5400.0
5400.0,5400.0
0.01,0.02
2.92,2.94
5400.0,5400.0
5400.0,5400.0
0.01,0.0
0.060000000000000005,0.05
5400.0,5400.0
7.31,7.1499999999999995
312.5,324.62
0.9400000000000001,0.91
5400.0,5400.0
173.88,223.83
0.13,0.14
0.02,0.02
5400.0,5400.0
5400.0,5400.0
0.12,0.11
5400.0,5400.0
5400.0,5400.0
0.01,0.01
9.32,9.06
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.51,0.47000000000000003
5400.0,5400.0
5400.0,5400.0
0.18,0.17
0.15,0.16
0.2,0.22
2498.71,2609.3700000000003
4.46,3.86
5400.0,5400.0
2.82,3.39
5400.0,5400.0
0.08,0.09
5400.0,5400.0
0.77,0.83
0.08,0.09
0.29000000000000004,0.32
0.28,0.23
2.01,1.8
0.54,0.5700000000000001
5400.0,5400.0
0.03,0.03
5400.0,5400.0
20.68,14.94
5400.0,5400.0
1.93,2.11
5400.0,5400.0
10.57,12.27
9.6,9.75
0.01,0.0
0.0,0.0
5400.0,5400.0
0.01,0.01
5400.0,5400.0
5400.0,5400.0
11.809999999999999,14.94
5400.0,5400.0
5400.0,5400.0
17.24,17.14
5400.0,5400.0
1097.89,1307.2800000000002
2.41,2.44
2.31,1.8900000000000001
770.0300000000001,894.55
5400.0,5400.0
0.32,0.31
5400.0,5400.0
3.1,3.23
25.68,25.22
0.33,0.33
0.97,1.0
0.38,0.35000000000000003
5400.0,5400.0
0.31,0.29
31.58,32.04
0.05,0.05
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
4.819999999999999,4.97
5400.0,5400.0
0.01,0.0
3.67,3.57
5400.0,5400.0
2.4499999999999997,2.6999999999999997
0.01,0.01
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
2.77,2.86
5400.0,5400.0
911.64,764.63
5400.0,5400.0
0.09,0.09
0.13,0.14
5400.0,5400.0
5400.0,5400.0
104.3,98.36
5400.0,5400.0
27.62,21.72
5400.0,5400.0
0.02,0.02
5400.0,5400.0
5400.0,5400.0
30.34,29.61
0.02,0.02
946.3199999999999,1229.7900000000002
5400.0,5400.0
1.82,1.75
1.21,1.08
5400.0,5400.0
5400.0,5400.0
0.81,0.9400000000000001
5400.0,5400.0
0.01,0.01
5400.0,5400.0
5400.0,5400.0
0.13,0.12
0.7,0.63
0.04,0.03
0.7,0.7000000000000001
5400.0,5400.0
18.24,10.83
5400.0,5400.0
