nsolved,pminimal,bioptsat-oll,bioptsat-msu3,bioptsat-su,bioptsat-us,bioptsat-msh,seesaw-sat,seesaw-satexmin,seesaw,paretomcs,paretomcs-strat
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.83,2.09
2,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,2.0300000000000002,2.2800000000000002
3,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.03,2.62,3.3699999999999997
4,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,4.01,4.42
5,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.03,5.16,6.61
6,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.04,0.06,5.2299999999999995,6.82
7,0.0,0.01,0.0,0.0,0.0,0.0,0.09,0.04,0.07,5.71,7.01
8,0.01,0.01,0.0,0.0,0.0,0.0,0.09000000000000001,0.05,0.07,6.24,7.930000000000001
9,0.01,0.01,0.0,0.01,0.01,0.01,0.1,0.05,0.07,6.85,8.790000000000001
10,0.02,0.01,0.01,0.01,0.01,0.01,0.1,0.05,0.08,6.98,8.8
11,0.02,0.01,0.01,0.01,0.01,0.01,0.1,0.06,0.1,7.2700000000000005,9.65
12,0.02,0.01,0.01,0.01,0.01,0.01,0.1,0.06,0.1,7.78,10.51
13,0.02,0.01,0.01,0.01,0.01,0.01,0.1,0.07,0.1,7.989999999999999,10.68
14,0.02,0.01,0.01,0.01,0.02,0.01,0.11,0.09,0.1,9.23,12.0
15,0.02,0.01,0.01,0.01,0.02,0.01,0.11,0.1,0.1,9.88,13.979999999999999
16,0.02,0.01,0.01,0.01,0.02,0.01,0.11,0.1,0.11,11.23,16.220000000000002
17,0.02,0.02,0.01,0.02,0.02,0.02,0.12,0.1,0.12,13.96,20.17
18,0.03,0.02,0.02,0.02,0.02,0.02,0.12,0.1,0.12000000000000001,22.27,40.839999999999996
19,0.03,0.02,0.02,0.02,0.02,0.02,0.14,0.1,0.13,22.59,42.04
20,0.03,0.02,0.02,0.02,0.02,0.02,0.2,0.11,0.14,23.39,47.17
21,0.03,0.02,0.02,0.02,0.02,0.02,0.21,0.11,0.16,26.31,60.82
22,0.04,0.02,0.02,0.03,0.02,0.02,0.29000000000000004,0.12,0.16999999999999998,36.71,62.84
23,0.04,0.02,0.02,0.03,0.02,0.02,0.3,0.15,0.2,43.6,76.96
24,0.04,0.02,0.02,0.03,0.02,0.02,0.93,0.16,0.21,58.809999999999995,130.98
25,0.05,0.02,0.02,0.04,0.02,0.02,1.3,0.18,0.25,79.32000000000001,259.9
26,0.05,0.02,0.02,0.04,0.03,0.02,1.6300000000000001,0.18,0.28,156.3,453.17
27,0.05,0.03,0.03,0.04,0.03,0.02,3.0300000000000002,0.19999999999999998,0.3,213.31,809.77
28,0.05,0.03,0.03,0.04,0.03,0.03,5.79,0.21,0.33,375.86,1547.5400000000002
29,0.06999999999999999,0.03,0.03,0.05,0.04,0.03,7.43,0.23,0.33999999999999997,401.45,2273.15
30,0.06999999999999999,0.03,0.03,0.05,0.04,0.03,17.419999999999998,0.23,0.39,477.24,2440.72
31,0.07,0.03,0.03,0.06,0.04,0.03,34.87,0.27,0.4,775.2700000000001,2747.2200000000003
32,0.08,0.04,0.04,0.060000000000000005,0.04,0.03,54.540000000000006,0.31000000000000005,0.53,1101.59,4769.78
33,0.08,0.04,0.04,0.060000000000000005,0.04,0.04,57.43,0.31000000000000005,0.56,1716.8799999999999,
34,0.08,0.04,0.04,0.06999999999999999,0.04,0.04,362.86,0.35,0.68,1956.8,
35,0.09999999999999999,0.05,0.04,0.07,0.04,0.05,667.14,0.41000000000000003,0.84,,
36,0.09999999999999999,0.05,0.05,0.08,0.05,0.05,1148.15,0.47,0.99,,
37,0.1,0.05,0.05,0.08,0.05,0.05,2050.84,0.52,1.04,,
38,0.1,0.06,0.060000000000000005,0.09,0.05,0.05,2725.18,0.54,1.47,,
39,0.1,0.060000000000000005,0.06999999999999999,0.1,0.060000000000000005,0.05,2882.1800000000003,0.5900000000000001,1.6,,
40,0.11,0.060000000000000005,0.07,0.1,0.060000000000000005,0.08,3703.7,0.79,1.61,,
41,0.12,0.06999999999999999,0.08,0.1,0.06999999999999999,0.08,3923.25,0.87,1.6800000000000002,,
42,0.12,0.07,0.08,0.1,0.07,0.08,4036.2000000000003,0.89,1.9400000000000002,,
43,0.13,0.08,0.08,0.11,0.07,0.09,,0.91,2.2399999999999998,,
44,0.13,0.08,0.08,0.11,0.08,0.09,,0.96,2.32,,
45,0.13,0.08,0.08,0.11,0.08,0.09,,0.9700000000000001,2.3899999999999997,,
46,0.13999999999999999,0.08,0.09,0.11,0.08,0.09,,1.0,2.81,,
47,0.14,0.08,0.09,0.11,0.08,0.09,,1.2,2.85,,
48,0.14,0.09,0.09,0.12,0.09,0.11,,1.26,2.92,,
49,0.14,0.09999999999999999,0.09,0.12,0.09999999999999999,0.11,,1.29,3.08,,
50,0.15000000000000002,0.09999999999999999,0.09999999999999999,0.13,0.09999999999999999,0.12,,1.55,3.34,,
51,0.16,0.11,0.1,0.13999999999999999,0.11,0.12,,1.61,3.35,,
52,0.16,0.11,0.11,0.13999999999999999,0.11,0.13,,2.09,3.58,,
53,0.17,0.13,0.12,0.14,0.12,0.14,,2.12,4.319999999999999,,
54,0.19,0.13,0.12,0.14,0.12,0.14,,2.33,4.82,,
55,0.2,0.13,0.12,0.14,0.14,0.14,,2.46,5.35,,
56,0.2,0.13,0.12,0.15000000000000002,0.14,0.14,,2.63,5.85,,
