nsolved,pminimal,bioptsat-oll,bioptsat-msu3,bioptsat-msh,bioptsat-us,bioptsat-su
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.01,0.01,0.0,0.01
7,0.0,0.0,0.01,0.01,0.01,0.01
8,0.0,0.01,0.01,0.01,0.01,0.01
9,0.01,0.01,0.01,0.01,0.01,0.01
10,0.01,0.01,0.01,0.01,0.01,0.01
11,0.01,0.02,0.01,0.01,0.01,0.01
12,0.01,0.02,0.02,0.02,0.02,0.02
13,0.01,0.02,0.02,0.02,0.02,0.02
14,0.01,0.02,0.02,0.02,0.02,0.02
15,0.01,0.02,0.02,0.02,0.02,0.02
16,0.01,0.02,0.02,0.02,0.02,0.02
17,0.01,0.02,0.02,0.02,0.02,0.02
18,0.02,0.02,0.02,0.02,0.02,0.02
19,0.02,0.02,0.02,0.02,0.02,0.02
20,0.02,0.02,0.02,0.02,0.02,0.02
21,0.02,0.02,0.02,0.02,0.02,0.03
22,0.02,0.03,0.02,0.02,0.03,0.03
23,0.02,0.03,0.02,0.02,0.03,0.03
24,0.02,0.03,0.02,0.02,0.03,0.03
25,0.03,0.03,0.03,0.02,0.03,0.03
26,0.03,0.03,0.03,0.03,0.03,0.04
27,0.03,0.03,0.03,0.03,0.04,0.05
28,0.03,0.03,0.03,0.04,0.04,0.05
29,0.04,0.03,0.03,0.04,0.04,0.05
30,0.04,0.04,0.04,0.04,0.05,0.06
31,0.05,0.04,0.04,0.04,0.05,0.06
32,0.05,0.05,0.04,0.04,0.05,0.06
33,0.05,0.05,0.05,0.04,0.05,0.060000000000000005
34,0.05,0.05,0.06,0.05,0.05,0.08
35,0.05,0.06,0.06,0.05,0.05,0.09
36,0.06,0.06,0.060000000000000005,0.05,0.06,0.09
37,0.060000000000000005,0.06,0.07,0.060000000000000005,0.060000000000000005,0.1
38,0.060000000000000005,0.060000000000000005,0.08,0.06999999999999999,0.060000000000000005,0.1
39,0.060000000000000005,0.060000000000000005,0.08,0.06999999999999999,0.060000000000000005,0.11
40,0.06999999999999999,0.08,0.08,0.08,0.07,0.11
41,0.06999999999999999,0.09999999999999999,0.09999999999999999,0.11,0.08,0.12
42,0.07,0.11,0.1,0.12,0.09,0.12
43,0.07,0.11,0.12,0.12,0.1,0.12000000000000001
44,0.08,0.11,0.13,0.12,0.1,0.13
45,0.08,0.12,0.13,0.13,0.12,0.13999999999999999
46,0.08,0.12,0.13,0.14,0.13,0.13999999999999999
47,0.09,0.13,0.14,0.14,0.13,0.15
