bioptsat-msh-confmin,bioptsat-msh
12.879999999999999,10.83
839.4599999999999,714.2
5400.0,5400.0
5400.0,5400.0
1.56,1.25
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.0,0.0
5400.0,5400.0
622.63,584.85
4.29,3.5
0.05,0.04
5400.0,5400.0
0.32,0.35000000000000003
5400.0,5400.0
87.77,102.55999999999999
5400.0,5400.0
1.37,1.4000000000000001
518.79,469.7
837.53,784.86
5400.0,5400.0
5400.0,5400.0
105.74,90.14999999999999
5400.0,5400.0
10.020000000000001,11.700000000000001
1.93,2.3099999999999996
14.129999999999999,9.459999999999999
5400.0,5400.0
0.01,0.0
0.02,0.01
0.68,0.65
16.14,13.51
5400.0,5400.0
0.36,0.21000000000000002
20.07,20.66
426.62,291.8
0.09999999999999999,0.11
0.28,0.17
0.03,0.01
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.03,0.03
0.0,0.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
42.68,14.559999999999999
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
13.76,14.03
0.8200000000000001,0.66
2.99,2.31
5400.0,5400.0
0.14,0.14
6.34,2.86
5400.0,5400.0
10.65,3.8299999999999996
5400.0,5400.0
1.07,1.0
5400.0,5400.0
21.51,22.02
4123.79,4197.4
5400.0,5400.0
7.87,8.12
0.03,0.02
2.8,2.48
5400.0,5400.0
5400.0,5400.0
3.5999999999999996,1.59
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
4.01,2.22
5078.1900000000005,2568.31
17.37,18.34
5.51,2.7399999999999998
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.04,0.03
5400.0,5400.0
0.11,0.05
16.32,10.83
2.11,3.07
1126.95,453.78
0.53,0.47000000000000003
0.23,0.16
746.1899999999999,786.08
0.02,0.02
1.2,0.99
0.01,0.02
5400.0,5400.0
0.28,0.22
2.23,2.44
5400.0,5400.0
352.1,165.21
0.74,0.47000000000000003
5400.0,5400.0
3.47,2.51
5400.0,5400.0
2.02,2.0
0.8,0.4
1.12,1.05
2129.26,2217.43
2.79,2.4
3.31,1.16
1.96,0.9400000000000001
5.89,4.74
878.5200000000001,1229.7900000000002
5400.0,5400.0
328.65999999999997,217.6
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.01,0.0
1970.3899999999999,1806.06
5400.0,5400.0
0.0,0.01
297.76,280.66
5400.0,5400.0
244.07,257.01
2.5199999999999996,1.46
817.43,197.27
1.82,1.75
0.18000000000000002,0.09
0.14,0.12
1.87,2.11
0.02,0.02
5400.0,5400.0
0.03,0.02
5400.0,5400.0
0.6900000000000001,0.81
0.09,0.03
0.44,0.36
5400.0,5400.0
5400.0,5400.0
350.44,160.29999999999998
5400.0,5400.0
0.7,0.83
0.84,0.63
0.39,0.21000000000000002
5400.0,5400.0
5400.0,5400.0
3.5599999999999996,0.96
0.4,0.31
5400.0,5400.0
20.05,11.58
5400.0,5400.0
0.08,0.09
1.68,1.76
5400.0,5400.0
5400.0,5400.0
52.279999999999994,26.23
427.34,481.79
5400.0,5400.0
5400.0,5400.0
0.09,0.05
0.01,0.02
5400.0,5400.0
216.4,162.02
11.9,9.06
0.02,0.02
5400.0,5400.0
0.2,0.16
5400.0,5400.0
2.9299999999999997,2.25
628.91,324.62
5400.0,5400.0
5400.0,5400.0
18.05,18.799999999999997
0.060000000000000005,0.05
1.03,0.91
5400.0,5400.0
5400.0,5400.0
0.09,0.08
0.060000000000000005,0.05
634.03,184.14
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1.01,0.8
1.27,1.57
5400.0,5400.0
203.76000000000002,46.61
5400.0,5400.0
0.23,0.13
5400.0,5400.0
34.61,21.68
5400.0,5400.0
5400.0,5400.0
1098.44,956.4599999999999
0.18000000000000002,0.14
5400.0,5400.0
0.03,0.01
0.0,0.01
4.42,3.34
5400.0,5400.0
5400.0,5400.0
964.68,1091.28
0.27,0.2
16.34,7.1499999999999995
0.56,0.4
1392.37,1506.59
5400.0,5400.0
4.19,3.86
229.78,223.83
72.36,24.75
5400.0,5400.0
0.01,0.0
3.6399999999999997,2.57
5400.0,5400.0
0.14,0.18
15.959999999999999,16.5
0.84,0.75
5400.0,5400.0
5400.0,5400.0
7.13,6.47
107.4,105.35000000000001
5400.0,5400.0
0.87,0.5700000000000001
2.05,1.74
5400.0,5400.0
17.49,14.14
106.57,125.22000000000001
0.52,0.46
6.79,8.049999999999999
0.62,0.5700000000000001
5400.0,5400.0
5400.0,5400.0
0.07,0.02
4.8999999999999995,2.94
5400.0,5400.0
0.0,0.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.98,0.5
0.08,0.14
0.13,0.14
5400.0,5400.0
0.13,0.11
5400.0,5400.0
5400.0,5400.0
0.02,0.02
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
50.879999999999995,23.919999999999998
0.09999999999999999,0.02
5400.0,5400.0
17.4,19.86
5400.0,5400.0
0.0,0.0
249.25,246.29
5400.0,5400.0
16.180000000000003,6.739999999999999
0.02,0.03
289.58000000000004,269.43
5400.0,5400.0
34.52,14.94
2290.4300000000003,2609.3700000000003
5400.0,5400.0
0.33,0.29
3.19,3.39
0.13,0.09
2569.57,2346.25
5400.0,5400.0
5400.0,5400.0
0.08,0.05
0.2,0.18000000000000002
0.34,0.32
0.23,0.22
1.99,2.1
5400.0,5400.0
1.9100000000000001,1.8
5400.0,5400.0
0.9400000000000001,1.05
4.93,7.7
5400.0,5400.0
0.68,0.35000000000000003
40.44,9.75
0.58,0.57
75.41,25.22
5400.0,5400.0
41.64,17.14
43.76,36.77
4.35,2.6999999999999997
0.03,0.01
5400.0,5400.0
0.08,0.09
1008.02,1307.2800000000002
93.28,98.36
0.23,0.23
11.44,12.27
3.38,1.8900000000000001
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
3854.5,4065.89
5400.0,5400.0
5400.0,5400.0
7.22,3.57
5400.0,5400.0
32.19,32.04
0.03,0.01
0.49,0.33
5400.0,5400.0
5400.0,5400.0
6.63,4.97
0.27,0.31
924.81,894.55
0.0,0.0
0.06999999999999999,0.04
0.08,0.09
5400.0,5400.0
0.2,0.17
0.83,0.7000000000000001
1.05,0.5700000000000001
0.68,0.9400000000000001
5400.0,5400.0
0.5700000000000001,0.31
5400.0,5400.0
5400.0,5400.0
0.02,0.02
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.11,0.08
5400.0,5400.0
14.94,14.94
0.17,0.08
5400.0,5400.0
23.3,21.72
5400.0,5400.0
5400.0,5400.0
0.13,0.12
0.81,0.77
0.45,0.33
0.02,0.03
1.83,1.08
5400.0,5400.0
5400.0,5400.0
0.02,0.01
5400.0,5400.0
5400.0,5400.0
36.85,29.61
5400.0,5400.0
4.71,3.23
653.55,625.32
1.5,5.99
5400.0,5400.0
721.37,764.63
5400.0,5400.0
937.76,405.03000000000003
5400.0,5400.0
4.55,3.0199999999999996
5400.0,5400.0
