bioptsat-msh-disjoint,bioptsat-msh
9.12,10.83
1006.0,714.2
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
3.9499999999999997,3.5
0.0,0.0
5400.0,5400.0
5400.0,5400.0
0.04,0.04
1.41,1.25
5400.0,5400.0
5400.0,5400.0
761.33,784.86
5400.0,5400.0
5400.0,5400.0
0.31999999999999995,0.35000000000000003
500.27,469.7
5400.0,5400.0
1.47,1.4000000000000001
90.52,102.55999999999999
576.2900000000001,584.85
5400.0,5400.0
5400.0,5400.0
26.42,24.75
90.34,90.14999999999999
713.69,894.55
5400.0,5400.0
13.56,11.700000000000001
12.08,9.459999999999999
5400.0,5400.0
5400.0,5400.0
0.0,0.0
0.02,0.01
1248.8500000000001,1307.2800000000002
25.93,13.51
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
19.32,20.66
0.17,0.18
0.18,0.17
0.02,0.01
1.05,1.0
1.87,1.75
0.26,0.08
5400.0,5400.0
0.03,0.03
5400.0,5400.0
0.01,0.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
13.29,14.559999999999999
5400.0,5400.0
5400.0,5400.0
0.71,0.66
3.15,2.31
5400.0,5400.0
5400.0,5400.0
0.1,0.14
0.02,0.02
0.09999999999999999,0.11
6.03,4.74
11.99,11.58
5400.0,5400.0
5400.0,5400.0
21.990000000000002,22.02
4331.52,4197.4
0.17,0.16
7.0,8.12
0.03,0.02
1.9200000000000002,2.48
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.23,0.23
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
19.84,18.34
0.03,0.02
5400.0,5400.0
711.87,165.21
5400.0,5400.0
548.26,625.32
5400.0,5400.0
5400.0,5400.0
0.0,0.0
1.73,2.22
2452.29,2568.31
2.76,2.7399999999999998
5400.0,5400.0
5400.0,5400.0
0.02,0.01
5400.0,5400.0
5400.0,5400.0
0.03,0.03
5400.0,5400.0
5400.0,5400.0
0.05,0.05
2.86,3.07
611.39,453.78
834.8199999999999,786.08
1.02,0.99
219.16000000000003,217.6
5400.0,5400.0
3.8499999999999996,1.59
0.26,0.22
0.02,0.02
5400.0,5400.0
5400.0,5400.0
0.09999999999999999,0.09
5400.0,5400.0
0.01,0.02
0.31,0.31
0.25,0.31
5400.0,5400.0
5400.0,5400.0
26.43,23.919999999999998
32.03,21.72
3.49,2.51
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
2.0399999999999996,2.0
5400.0,5400.0
3.17,3.34
5400.0,5400.0
0.42,0.4
5400.0,5400.0
0.28,0.32
1.57,1.05
2229.4700000000003,2217.43
