paretosat-msh-disjoint,paretosat-msh
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
635.65,595.81
5400.0,5400.0
5400.0,5400.0
2992.94,1400.53
5400.0,5400.0
616.78,625.4200000000001
5400.0,5400.0
5400.0,5400.0
12.99,12.879999999999999
5400.0,5400.0
165.6,160.77
0.25,0.24
2.11,1.9
0.0,0.0
1.41,1.51
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
982.6700000000001,1095.66
0.03,0.03
4.92,5.11
360.19000000000005,297.33000000000004
5400.0,5400.0
5400.0,5400.0
10.73,5.529999999999999
2683.08,1478.12
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
3.6199999999999997,2.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.01,0.01
5400.0,5400.0
5400.0,5400.0
1.04,0.88
3284.69,2398.1000000000004
14.790000000000001,9.95
95.41,74.39999999999999
20.919999999999998,14.59
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
2.67,2.37
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
3.4299999999999997,7.66
5400.0,5400.0
0.95,0.46
5400.0,5400.0
0.01,0.01
1.17,1.3
5400.0,5400.0
24.79,24.32
2.36,1.24
5400.0,5400.0
2.9899999999999998,6.24
0.34,0.34
174.32,65.69
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1.69,1.36
1600.49,787.9200000000001
3.13,3.3099999999999996
1.93,1.3
0.23,0.15000000000000002
2378.38,1510.1799999999998
1.58,0.68
3716.4500000000003,1709.95
1.62,1.22
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.34,0.33
0.37,0.22
5400.0,5400.0
376.29999999999995,268.91
5400.0,5400.0
1.27,0.51
5400.0,5400.0
5400.0,5400.0
17.49,8.809999999999999
5400.0,5400.0
0.02,0.02
5400.0,5400.0
5400.0,5400.0
1.23,0.86
5400.0,5400.0
0.03,0.03
1.25,0.8
26.86,23.810000000000002
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
30.64,29.25
5400.0,5400.0
0.08,0.06
5400.0,5400.0
0.05,0.03
34.71,29.36
0.39,0.16
0.04,0.04
5400.0,5400.0
255.92999999999998,212.91
1.49,0.96
28.68,22.27
0.09,0.08
5400.0,5400.0
0.63,0.39
255.77,202.09
1.55,0.83
29.91,23.560000000000002
5400.0,5400.0
5400.0,5400.0
67.49,46.120000000000005
0.01,0.01
5400.0,3355.18
5400.0,5400.0
0.09,0.07
5400.0,5400.0
0.0,0.0
5400.0,5400.0
1496.57,1468.79
5400.0,5400.0
5400.0,5400.0
231.85,261.78999999999996
5400.0,5400.0
33.220000000000006,33.78
0.09999999999999999,0.07
0.02,0.03
5400.0,5400.0
0.49,0.36
17.7,14.31
4.55,4.819999999999999
5400.0,5400.0
2366.19,1824.7099999999998
