increasing,decreasing
0.0,0.0
47.2867,60.214
2916.12,2213.14
0.0,0.0
3177.91,2091.12
398.483,413.861
0.00445,0.015891
19.2313,5300.38
45.0413,429.246
0.759049,2.21422
0.0,0.0
4687.93,641.63
480.878,98.5915
2837.18,70.4365
6.70116,4.3307
0.0,0.0
0.416342,0.879028
122.792,594.421
2661.15,2711.09
0.0,0.0
2296.55,3085.18
256.052,457.253
13.422,16.9758
728.326,4650.94
7.95299,6.21512
846.069,1277.45
0.000814,7.1e-05
0.0,0.0
0.0,0.0
0.348442,1.27266
571.528,4823.46
0.010616,0.015244
0.001658,0.002528
0.001144,0.002405
0.014476,0.060337
0.017617,0.018619
298.206,5101.18
173.883,5225.62
1.4022,1.29838
1860.67,3376.45
3.50441,13.3328
3411.79,1983.63
2.13937,4.19413
1.88382,2.23316
3.14886,1.88953
0.000214,0.008439
0.5288,1.20923
726.972,4671.83
2501.36,2895.49
0.0,0.0
1.53729,2.07564
3000.54,2382.18
0.093365,0.177316
0.091795,0.061921
1079.63,4318.86
1086.43,4300.96
0.195011,0.481991
0.474652,1.05849
4394.96,987.834
5.5458,5.11822
0.042039,0.043854
0.640902,0.09488
0.546753,0.441683
650.58,4748.86
1321.8,4077.6
0.483673,1.99262
1355.4,4024.53
1.32984,0.890697
0.208468,0.094516
0.545893,0.280785
504.669,4880.81
0.568015,0.063702
806.259,4593.3
6.78774,191.341
151.642,5245.0
7.96382,43.579
0.00623,0.001077
1818.1,3581.36
1.30992,0.336088
3473.72,1778.35
0.079391,0.061244
2.58717,11.2667
0.041161,0.087829
1.01717,10.5234
329.414,5070.04
0.046145,0.061767
648.433,3720.01
1870.03,3529.41
990.811,4408.7
672.762,401.601
2881.3,2486.9
5.71583,7.88207
0.141496,0.397382
0.010561,0.011333
66.9508,5318.87
394.55,4993.07
0.403251,13.647
963.87,4417.58
2709.1,2670.39
37.5855,5361.76
815.296,4566.87
3593.15,1761.93
252.493,2311.37
41.857,5357.4
0.125843,0.625059
364.692,5034.77
0.006443,0.002373
2760.26,2618.44
0.132206,0.400066
0.007144,0.004216
1.70374,1.50025
1765.68,3615.38
3477.41,1916.91
460.554,4891.83
49.7796,61.4926
7.26942,1.84296
0.753002,1.5799
1234.7,962.988
156.706,128.25
730.896,4649.29
3403.1,1980.54
1891.04,3498.57
4081.64,1303.18
1940.73,3409.75
739.267,4632.74
3813.11,1484.63
0.20464,0.566814
