bioptsat-msh-nolazydown,bioptsat-msh
10.91,10.83
716.01,714.2
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
3.32,3.5
0.29000000000000004,0.35000000000000003
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.0,0.0
5400.0,5400.0
5400.0,5400.0
0.04,0.04
1.22,1.25
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
786.2,784.86
5400.0,5400.0
1.42,1.4000000000000001
101.86999999999999,102.55999999999999
485.36,469.7
587.24,584.85
92.30999999999999,90.14999999999999
5400.0,5400.0
0.11,0.11
11.97,11.700000000000001
8.959999999999999,9.459999999999999
0.0,0.0
5400.0,5400.0
0.01,0.01
5400.0,5400.0
5400.0,5400.0
0.26,0.23
13.53,13.51
0.33,0.35000000000000003
5400.0,5400.0
20.34,20.66
0.15000000000000002,0.17
0.02,0.01
5400.0,5400.0
3.56,3.57
5400.0,5400.0
5400.0,5400.0
0.02,0.03
0.0,0.0
2552.6800000000003,2568.31
8.049999999999999,8.12
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.12,0.13
1103.71,1091.28
14.43,14.559999999999999
5400.0,5400.0
0.23,0.31
0.68,0.66
2.36,2.31
5400.0,5400.0
0.14,0.14
5400.0,5400.0
894.28,894.55
5400.0,5400.0
5400.0,5400.0
22.0,22.02
4193.18,4197.4
5400.0,5400.0
0.03,0.02
7.779999999999999,8.049999999999999
2.5,2.48
5400.0,5400.0
5400.0,5400.0
2610.6,2609.3700000000003
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.03,0.03
2.2699999999999996,2.22
17.98,18.34
5400.0,5400.0
2.82,2.7399999999999998
0.96,0.96
5400.0,5400.0
0.36,0.33
5400.0,5400.0
0.0,0.0
5400.0,5400.0
0.2,0.18000000000000002
0.04,0.03
0.02,0.02
5400.0,5400.0
5400.0,5400.0
0.05,0.05
2.97,3.07
0.01,0.01
450.38,453.78
2.67,2.6999999999999997
5400.0,5400.0
167.56,165.21
788.9,786.08
0.18000000000000002,0.16
9.639999999999999,9.75
5400.0,5400.0
0.98,0.99
5400.0,5400.0
1.62,1.59
0.24,0.22
5400.0,5400.0
23.62,23.919999999999998
0.03,0.02
252.3,257.01
0.04,0.05
5400.0,5400.0
0.99,1.05
2.48,2.51
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
7.29,7.1499999999999995
1.8800000000000001,2.0
2.93,2.94
0.43,0.4
1.03,1.05
6.41,6.47
0.16,0.2
5400.0,5400.0
2210.13,2217.43
5400.0,5400.0
5400.0,5400.0
0.92,0.9400000000000001
1.11,1.08
211.79999999999998,217.6
1815.9299999999998,1806.06
5400.0,5400.0
0.62,0.57
5400.0,5400.0
5400.0,5400.0
1.44,1.46
0.19,0.21000000000000002
26.21,26.23
196.36,197.27
1.65,1.57
0.49,0.46
0.12,0.12
281.87,280.66
5400.0,5400.0
1.59,1.76
0.28,0.32
6.76,6.739999999999999
404.06,405.03000000000003
0.03,0.02
5400.0,5400.0
0.8200000000000001,0.81
5400.0,5400.0
2.77,2.86
0.33,0.36
25.919999999999998,25.22
5400.0,5400.0
0.02,0.02
159.55,160.29999999999998
28.81,29.61
0.13,0.14
5400.0,5400.0
5400.0,5400.0
0.21000000000000002,0.21000000000000002
5400.0,5400.0
13.57,14.14
