paretosat-msh-nolazydown,paretosat-msh
5400.0,5400.0
5400.0,5400.0
1403.06,1400.53
159.27,160.77
0.02,0.03
589.22,595.81
1.51,1.51
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.25,0.24
624.4100000000001,625.4200000000001
5400.0,5400.0
1.92,1.9
12.34,12.879999999999999
0.0,0.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
4.8,5.11
1076.1200000000001,1095.66
5400.0,5400.0
279.65000000000003,297.33000000000004
2656.2200000000003,2635.45
12.16,12.23
5400.0,5400.0
0.05,0.05
5400.0,5400.0
5400.0,5400.0
5.54,5.529999999999999
5400.0,5400.0
0.38,0.36
5400.0,5400.0
5400.0,5400.0
3.4,3.3099999999999996
2.03,2.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.89,0.88
3624.33,3573.45
358.10999999999996,356.0
1.21,1.22
74.61,74.39999999999999
5400.0,5400.0
3.58,3.54
4.85,4.829999999999999
5400.0,5400.0
0.09,0.09
5400.0,5400.0
5400.0,5400.0
3.0999999999999996,7.66
5400.0,5400.0
5400.0,5400.0
1.29,1.3
5400.0,5400.0
5400.0,5400.0
2.63,6.24
5400.0,5400.0
68.28,65.69
31.68,32.459999999999994
1484.1299999999999,1468.79
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1.29,1.36
5400.0,5400.0
0.03,0.03
5400.0,5400.0
5400.0,5400.0
0.01,0.0
0.06,0.07
1716.71,1709.95
791.78,787.9200000000001
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.06,0.06
29.59,28.5
0.22,0.22
5400.0,5400.0
273.0,268.91
5400.0,5400.0
5400.0,5400.0
0.06,0.06
5400.0,5400.0
8.889999999999999,8.809999999999999
5400.0,5400.0
0.01,0.02
0.86,0.86
0.03,0.03
5400.0,5400.0
0.02,0.03
23.51,23.810000000000002
0.06,0.06
1.32,1.3
0.27,0.27
0.03,0.04
207.72,212.91
5400.0,5400.0
0.94,0.96
0.01,0.01
5400.0,5400.0
5400.0,5400.0
0.07,0.08
515.51,550.9300000000001
5400.0,5400.0
5400.0,5400.0
0.39,0.39
195.62,202.09
0.83,0.83
0.01,0.01
29.43,29.36
5400.0,5400.0
0.01,0.01
1.0,1.04
5400.0,5400.0
0.0,0.0
5400.0,5400.0
0.15000000000000002,0.14
5400.0,5400.0
179.87,179.51
258.06,261.78999999999996
2.38,2.53
1466.07,1510.1799999999998
36.95,36.699999999999996
0.03,0.03
0.0,0.0
4.84,4.819999999999999
5400.0,5400.0
71.66999999999999,71.33999999999999
5400.0,5400.0
0.02,0.02
289.87,304.15999999999997
5400.0,5400.0
0.0,0.0
5.81,5.89
5400.0,5400.0
4.0,4.05
5400.0,5400.0
1.24,1.24
24.2,24.13
5400.0,5400.0
2.58,2.48
