pminimal,bioptsat-msh
0.0,0.0
5400.0,5400.0
0.32999999999999996,0.35000000000000003
5400.0,5400.0
1.46,1.4000000000000001
0.05,0.04
5400.0,5400.0
5400.0,5400.0
15.34,10.83
1.47,1.25
5400.0,5400.0
2272.04,714.2
786.5699999999999,469.7
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
767.75,784.86
682.77,584.85
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
8.5,3.5
139.49,102.55999999999999
1.05,1.05
5400.0,5400.0
5400.0,5400.0
0.02,0.01
1.73,1.05
5400.0,5400.0
5400.0,5400.0
0.17,0.09
1.07,0.66
3.3,2.57
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.2,0.18000000000000002
5400.0,5400.0
0.02,0.02
0.08,0.05
0.19,0.08
5400.0,5400.0
5400.0,5400.0
3225.98,1806.06
5400.0,5400.0
0.96,0.8
5400.0,5400.0
23.55,14.559999999999999
5400.0,5400.0
25.71,24.75
0.05,0.05
5400.0,5400.0
0.06999999999999999,0.03
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
2.73,1.46
0.02,0.02
5400.0,5400.0
5400.0,4197.4
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
3.7699999999999996,3.86
0.06999999999999999,0.04
1.34,0.91
0.02,0.02
21.029999999999998,10.83
18.47,25.22
2.8499999999999996,2.0
3.94,3.0199999999999996
5400.0,5400.0
5400.0,5400.0
65.61999999999999,36.77
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.68,0.31
30.779999999999998,20.66
407.62,246.29
3644.46,2217.43
0.22,0.16
5400.0,5400.0
3.95,1.74
0.75,0.35000000000000003
5400.0,5400.0
5400.0,5400.0
0.0,0.0
5400.0,5400.0
650.6500000000001,269.43
0.81,0.9400000000000001
5400.0,5400.0
0.13999999999999999,0.03
5400.0,5400.0
0.03,0.01
0.08,0.09
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
14.739999999999998,17.14
5400.0,5400.0
0.02,0.02
0.03,0.02
5400.0,5400.0
12.07,4.97
5400.0,5400.0
146.04999999999998,105.35000000000001
5387.95,2568.31
5400.0,5400.0
1.97,1.57
0.05,0.05
5400.0,5400.0
5400.0,5400.0
4.159999999999999,2.94
0.1,0.01
0.02,0.02
5400.0,5400.0
0.12,0.14
16.37,14.94
5400.0,5400.0
5400.0,5400.0
32.150000000000006,14.14
0.14,0.11
5400.0,5400.0
0.08,0.0
0.1,0.01
5400.0,5400.0
5400.0,5400.0
1322.21,786.08
1217.26,625.32
3.8299999999999996,2.48
60.8,32.04
5400.0,5400.0
0.88,0.81
5400.0,5400.0
5400.0,5400.0
0.13,0.03
0.16,0.14
5400.0,5400.0
5400.0,5400.0
23.81,11.700000000000001
20.13,9.06
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.86,0.5700000000000001
5400.0,5400.0
5.7299999999999995,2.7399999999999998
36.97,14.94
0.98,0.47000000000000003
0.04,0.05
0.02,0.01
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.11,0.02
5400.0,5400.0
2.3,2.11
5400.0,5400.0
5400.0,5400.0
62.54,29.61
0.07,0.09
2.69,2.6999999999999997
0.01,0.0
0.02,0.02
161.26,46.61
0.2,0.09
8.25,0.96
0.27,0.22
158.26,125.22000000000001
408.75,257.01
0.01,0.01
5400.0,5400.0
5400.0,5400.0
254.99,197.27
64.41,21.68
5400.0,5400.0
0.05,0.05
7.970000000000001,9.459999999999999
160.98999999999998,90.14999999999999
0.03,0.02
5400.0,5400.0
33.06,26.23
5400.0,5400.0
2.59,1.75
0.75,0.36
0.23,0.18
2.6599999999999997,2.1
5400.0,5400.0
4.28,2.51
5400.0,5400.0
0.09999999999999999,0.02
0.6,0.29
5400.0,5400.0
1407.67,894.55
5400.0,5400.0
403.73,223.83
5400.0,5400.0
5400.0,5400.0
0.25,0.22
0.13,0.12
1450.27,481.79
0.25,0.21000000000000002
1.62,0.77
99.53,217.6
5400.0,5400.0
5400.0,5400.0
31.35,19.86
23.85,3.57
229.47000000000003,165.21
1.36,1.0
0.38,0.33
5400.0,5400.0
111.60000000000001,184.14
0.96,0.57
130.01,160.29999999999998
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
29.290000000000003,18.34
0.0,0.0
164.23000000000002,291.8
0.09999999999999999,0.01
5400.0,5400.0
3259.83,1506.59
5400.0,5400.0
5400.0,5400.0
0.16,0.13
5400.0,5400.0
2.81,2.22
230.43,162.02
3.19,1.8
0.7000000000000001,0.99
757.1,405.03000000000003
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1789.6200000000001,1229.7900000000002
5400.0,5400.0
0.36,0.31
25.32,14.03
5400.0,5400.0
5400.0,5400.0
0.21,0.17
5400.0,5400.0
0.15000000000000002,0.09
1.32,0.63
5400.0,5400.0
13.649999999999999,7.1499999999999995
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
3.61,2.25
1.16,0.75
5400.0,5400.0
0.12,0.11
0.14,0.12
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.6,0.4
1.01,0.83
0.45,0.32
0.0,0.01
4.369999999999999,3.39
5400.0,5400.0
5400.0,5400.0
0.14,0.08
0.03,0.03
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
10.7,8.12
7.8100000000000005,7.7
10.629999999999999,8.049999999999999
40.75,21.72
22.36,23.919999999999998
10.04,6.47
7.869999999999999,6.739999999999999
5400.0,5400.0
1014.31,453.78
2.2399999999999998,1.76
1.82,1.16
6.55,2.31
0.36,0.31
29.7,22.02
0.32,0.17
5400.0,5400.0
2.7600000000000002,1.8900000000000001
1617.99,764.63
0.81,0.7000000000000001
1538.49,1091.28
5400.0,5400.0
5400.0,5400.0
0.0,0.0
2.4699999999999998,1.59
1.0,0.65
5.33,2.86
0.68,0.46
0.37,0.33
0.2,0.14
5400.0,5400.0
5400.0,5400.0
0.22,0.23
2224.44,1307.2800000000002
4.489999999999999,3.23
1708.1200000000001,956.4599999999999
0.0,0.0
0.78,0.47000000000000003
5400.0,5400.0
5400.0,5400.0
1.42,0.9400000000000001
5400.0,5400.0
5400.0,5400.0
6.87,5.99
0.32,0.21000000000000002
5400.0,5400.0
5400.0,5400.0
33.6,16.5
0.52,0.5
4.36,3.07
28.05,11.58
5400.0,2609.3700000000003
5400.0,5400.0
5400.0,5400.0
555.9699999999999,324.62
719.73,280.66
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
6.95,3.8299999999999996
0.23,0.16
5400.0,5400.0
0.28,0.2
0.1,0.08
5400.0,5400.0
0.5800000000000001,0.5700000000000001
175.57,98.36
5400.0,5400.0
26.82,4.74
5400.0,2346.25
31.990000000000002,9.75
5400.0,5400.0
4.37,2.44
5400.0,5400.0
0.04,0.02
37.230000000000004,13.51
5400.0,4065.89
1.1300000000000001,1.08
5400.0,5400.0
22.400000000000002,18.799999999999997
12.5,12.27
15.76,2.4
5400.0,5400.0
0.89,0.5700000000000001
5400.0,5400.0
4.17,2.3099999999999996
5400.0,5400.0
0.81,0.4
5400.0,5400.0
0.13,0.14
0.04,0.03
0.0,0.0
5400.0,5400.0
5400.0,5400.0
7.069999999999999,3.34
