pminimal,bioptsat-msh
7.84,4.05
5400.0,5400.0
987.8,1011.42
5400.0,5400.0
857.0500000000001,631.35
767.0600000000001,588.45
5400.0,5400.0
0.26,0.31
191.11,127.83
0.02,0.04
1.57,1.3800000000000001
5400.0,5400.0
5400.0,5400.0
0.0,0.0
12.959999999999999,12.15
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
3059.0499999999997,1593.79
2.17,1.91
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
158.13000000000002,189.20000000000002
0.08,0.03
0.0,0.02
162.70999999999998,204.89
0.38,0.31
1.79,1.68
0.03,0.08
5.51,4.079999999999999
2160.43,1485.52
2.7399999999999998,2.82
0.060000000000000005,0.01
5400.0,5400.0
1546.54,1609.74
11.12,8.61
1396.21,1155.94
0.0,0.01
5400.0,5400.0
619.79,298.0
8.93,10.149999999999999
16.55,10.42
33.199999999999996,21.86
6.12,4.27
0.0,0.0
5400.0,5400.0
125.21000000000001,78.78999999999999
45.1,10.26
5400.0,5400.0
105.86,204.17
0.01,0.03
5400.0,5400.0
7.199999999999999,5.21
5400.0,5400.0
5400.0,5400.0
0.95,0.59
4.17,2.9899999999999998
50.49,42.089999999999996
3.69,2.57
5400.0,5400.0
1.42,0.93
5400.0,5400.0
7.25,5.359999999999999
0.08,0.04
5400.0,5400.0
5400.0,5400.0
1.04,0.99
15.23,9.33
5400.0,5400.0
0.02,0.02
5400.0,5400.0
0.0,0.01
0.23,0.27
5400.0,5400.0
22.650000000000002,15.19
5400.0,5400.0
317.34000000000003,263.24
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.67,0.4
0.01,0.0
5400.0,5400.0
5400.0,5400.0
267.23,170.96
5400.0,5400.0
5400.0,5400.0
5.69,4.37
5400.0,5400.0
5400.0,5400.0
0.02,0.05
0.04,0.04
0.0,0.01
0.04,0.06999999999999999
5400.0,5400.0
5400.0,5400.0
313.93,231.23000000000002
0.41000000000000003,0.47000000000000003
5400.0,5400.0
5400.0,5400.0
27.96,29.9
5400.0,5400.0
2.21,1.27
0.56,0.48
5400.0,5400.0
5400.0,2564.4900000000002
0.02,0.02
0.16,0.22
8.84,8.319999999999999
5400.0,5400.0
0.19,0.23
5400.0,5400.0
5400.0,5400.0
5102.78,3512.36
0.32,0.43
5400.0,5400.0
0.21000000000000002,0.24000000000000002
5400.0,5400.0
5400.0,5400.0
0.01,0.02
6.38,5.119999999999999
125.27,63.7
5400.0,5400.0
5400.0,5400.0
1.21,1.01
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.01,0.02
0.02,0.02
0.6900000000000001,0.66
11.67,7.619999999999999
5400.0,5400.0
117.17999999999999,76.45
75.44,9.9
5400.0,5400.0
2265.39,1388.9299999999998
44.059999999999995,34.2
0.05,0.060000000000000005
0.77,0.44
549.86,332.61
5400.0,5400.0
5400.0,5400.0
1.87,1.1
0.15000000000000002,0.18000000000000002
1.3,1.1300000000000001
5400.0,5400.0
5400.0,5400.0
3190.88,2057.21
5400.0,5400.0
5400.0,5400.0
0.06999999999999999,0.02
5400.0,5400.0
5400.0,5026.4
5400.0,5400.0
5400.0,5400.0
4.62,2.31
14.34,11.42
4095.15,2911.7
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.52,0.4
0.61,0.91
5400.0,5400.0
0.02,0.05
32.72,23.560000000000002
1.41,1.24
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1.58,1.24
2.7399999999999998,1.3800000000000001
1.54,1.12
4.09,3.24
4.71,2.88
0.03,0.06999999999999999
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
7.38,5.779999999999999
52.72,46.74
5400.0,5400.0
1.05,0.8200000000000001
0.1,0.17
4.12,2.07
5400.0,5400.0
0.05,0.0
0.05,0.02
5400.0,5400.0
630.1,564.93
5400.0,5400.0
0.18,0.21
0.06999999999999999,0.12
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.78,0.77
5400.0,5400.0
0.07,0.12
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
3938.05,2587.2000000000003
5400.0,5400.0
2439.43,1782.99
243.53,184.83
30.34,27.0
2782.1099999999997,1526.39
0.19,0.24000000000000002
5400.0,5400.0
1.1300000000000001,0.77
5400.0,5400.0
5400.0,5400.0
3.36,1.99
4.35,3.75
2387.12,1664.5
5400.0,5400.0
5400.0,5400.0
0.03,0.04
5400.0,5400.0
54.59,57.33
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
19.14,13.799999999999999
0.14,0.16
5400.0,5400.0
0.09,0.13
5400.0,5400.0
624.14,452.8
1877.85,1891.84
4.3,3.4099999999999997
0.33,0.37
0.02,0.04
5400.0,5400.0
22.49,29.310000000000002
1.31,1.21
89.06,62.81
77.64999999999999,66.97000000000001
21.95,15.520000000000001
26.5,14.879999999999999
5400.0,5400.0
511.84000000000003,288.89
5400.0,5400.0
5400.0,5400.0
446.48,413.51
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1.29,0.9400000000000001
0.01,0.0
5400.0,5400.0
5400.0,5400.0
4.74,3.5599999999999996
5400.0,5400.0
5400.0,5400.0
47.81,52.38
1608.4099999999999,1579.6
5400.0,5400.0
5400.0,5400.0
43.71,33.440000000000005
1.14,0.9400000000000001
96.99,52.85
16.599999999999998,23.95
33.19,26.56
28.22,23.900000000000002
1.45,1.22
646.3100000000001,314.71
5400.0,5400.0
0.060000000000000005,0.02
54.98,37.83
171.64000000000001,180.19
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
254.53,156.01
0.05,0.05
5400.0,5400.0
5400.0,5400.0
1.07,0.84
5400.0,5400.0
0.48,0.37
5400.0,5400.0
2.5,1.69
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
0.06,0.11
5400.0,5400.0
4.39,3.09
5400.0,5400.0
1.11,0.58
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
3.7600000000000002,2.19
5400.0,5400.0
0.07,0.14
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5.13,2.77
0.060000000000000005,0.02
35.6,28.76
516.13,302.05999999999995
5400.0,5400.0
0.01,0.02
5400.0,5400.0
0.11,0.12
1901.69,1883.22
5400.0,5400.0
0.92,0.88
0.9400000000000001,0.59
0.0,0.01
0.37,0.37
487.26,471.12
0.18000000000000002,0.2
0.38,0.42
0.05,0.14
3.22,3.0599999999999996
36.769999999999996,26.419999999999998
5400.0,5400.0
1.49,1.3800000000000001
5400.0,5400.0
18.990000000000002,12.7
13.26,12.35
0.01,0.02
0.01,0.02
3.9099999999999997,2.82
55.57,35.77
5400.0,5400.0
5400.0,5400.0
0.11,0.17
45.53,36.82
0.4,0.41
5400.0,5400.0
0.0,0.01
40.64,31.34
0.01,0.02
1.0,0.91
5400.0,5400.0
2.34,1.39
0.03,0.04
5400.0,5400.0
0.18,0.25
6.220000000000001,4.359999999999999
38.78,29.68
5400.0,5400.0
5400.0,5400.0
0.18000000000000002,0.22
1.67,1.21
8.34,5.74
5400.0,5400.0
0.43,0.44
5400.0,5400.0
0.08,0.14
5400.0,5400.0
