paretosat-msh-50secs,paretosat-msh
1170.6000000000001,1139.8999999999999
3721.35,3769.92
94.92,207.04000000000002
78.85,114.45
3847.29,3842.72
2270.59,2254.4500000000003
625.5699999999999,627.4499999999999
1539.8200000000002,1486.1699999999998
1095.8700000000001,2494.29
5400.0,5400.0
4364.740000000001,5400.0
689.11,688.61
788.0,786.2099999999999
1680.8799999999999,1678.28
159.9,266.25
5400.0,5400.0
5400.0,5400.0
335.84,337.5
161.45999999999998,241.98
78.42,130.19
61.32,77.31
734.2099999999999,713.4599999999999
1066.15,1643.6799999999998
1573.2,1570.75
5400.0,5400.0
4632.24,5400.0
5400.0,5400.0
616.0,608.42
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
65.77,93.42
2080.37,4018.97
5400.0,5400.0
5400.0,5400.0
76.67999999999999,124.82
4520.75,5400.0
5400.0,5400.0
1282.34,1292.96
2024.98,2036.76
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1012.95,1012.31
2396.58,2427.72
69.02000000000001,107.63
5400.0,5400.0
300.44,552.2199999999999
481.84,1083.76
989.3399999999999,982.76
1580.77,1576.64
357.48,358.36
101.42999999999999,101.24
5400.0,5400.0
2680.27,2655.95
2325.5299999999997,2197.92
1421.97,1469.5200000000002
5400.0,5400.0
129.7,201.07
405.22999999999996,678.53
5400.0,5400.0
416.17,1785.8000000000002
3283.16,3254.73
3550.11,5400.0
693.65,697.34
552.81,802.5600000000001
86.96000000000001,99.85000000000001
5400.0,5400.0
64.25999999999999,92.75
63.22,157.95
1450.15,1434.69
2936.92,2934.3900000000003
749.96,1178.63
3791.48,3786.36
52.78,61.550000000000004
44.71,44.86
890.6,2099.96
543.36,532.37
1678.49,1626.72
928.78,930.82
507.43,487.04
384.59999999999997,602.8
5400.0,5400.0
2913.91,5400.0
5400.0,5400.0
3424.6600000000003,3392.75
65.28,100.94
5400.0,5400.0
1426.66,2787.79
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
102.28999999999999,172.55
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
355.25,353.21
378.08,373.62
1299.39,1329.6399999999999
5400.0,5400.0
5400.0,5400.0
585.8,586.0
5400.0,5400.0
5400.0,5400.0
124.86,177.75
5400.0,5400.0
43.06,43.16
321.37,320.22
5400.0,5400.0
5400.0,5400.0
3876.81,3679.27
232.68,399.17
132.26999999999998,198.01
147.99,232.61
441.12,788.5500000000001
538.36,536.1500000000001
87.77,102.58999999999999
5400.0,5400.0
