paretosat-msh-70lits,paretosat-msh
357.2,207.04000000000002
587.75,536.1500000000001
5400.0,5400.0
5400.0,5400.0
3627.71,3842.72
1618.62,2494.29
672.31,788.5500000000001
1197.05,688.61
769.0400000000001,786.2099999999999
477.07,266.25
5400.0,5400.0
5400.0,5400.0
411.01000000000005,337.5
423.45,77.31
580.4,232.61
1615.98,1643.6799999999998
5400.0,5400.0
447.09,107.63
3761.3,3769.92
5400.0,5400.0
5400.0,5400.0
139.78,114.45
1763.33,1678.28
5400.0,5400.0
4645.63,5400.0
5400.0,5400.0
405.21999999999997,177.75
1234.99,2787.79
1121.74,608.42
5400.0,5400.0
5400.0,5400.0
1077.98,627.4499999999999
251.97,102.58999999999999
5400.0,5400.0
5400.0,5400.0
2648.9,3254.73
149.95,124.82
197.29,99.85000000000001
317.54,198.01
5400.0,5400.0
2444.0499999999997,2427.72
1304.6799999999998,1292.96
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
509.93,552.2199999999999
275.73,320.22
1022.0799999999999,2099.96
1930.54,2254.4500000000003
104.91999999999999,157.95
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1401.51,1434.69
1602.8200000000002,1576.64
365.97999999999996,358.36
4541.66,5400.0
5400.0,5400.0
139.31,172.55
2709.52,2655.95
1480.2,1469.5200000000002
324.15999999999997,353.21
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
180.95999999999998,201.07
661.98,678.53
5400.0,5400.0
4099.12,5400.0
849.93,802.5600000000001
5400.0,5400.0
1367.59,1329.6399999999999
557.62,532.37
5400.0,5400.0
5400.0,5400.0
954.9,1012.31
3650.98,3786.36
916.95,373.62
5400.0,5400.0
5400.0,5400.0
473.24,92.75
93.17999999999999,43.16
1029.96,930.82
542.58,487.04
569.08,586.0
110.25,101.24
5400.0,5400.0
4154.52,3679.27
5400.0,5400.0
467.07,399.17
507.34000000000003,1785.8000000000002
5400.0,5400.0
1419.3700000000001,1486.1699999999998
5400.0,5400.0
1059.71,1178.63
2878.16,2934.3900000000003
123.36,44.86
3223.9300000000003,3392.75
712.7800000000001,697.34
5400.0,5400.0
815.64,602.8
1719.81,1626.72
1612.87,1570.75
940.87,982.76
88.67,61.550000000000004
5400.0,5400.0
1096.8,1139.8999999999999
112.42999999999999,100.94
5400.0,5400.0
3252.2799999999997,5400.0
164.27999999999997,130.19
391.26,241.98
2838.0099999999998,4018.97
4422.0599999999995,5400.0
5400.0,5400.0
2483.37,2197.92
122.02,93.42
684.31,713.4599999999999
2041.52,2036.76
538.4,1083.76
