nsolved,bioptsat-oll,bioptsat-us,bioptsat-msu3,pminimal,bioptsat-su,bioptsat-msh
1,3.88,14.719999999999999,35.45,62.1,82.22,87.48
2,23.53,41.07,40.96,100.45,107.11999999999999,99.72
3,52.9,84.06,59.79,112.24,114.82,100.29
4,75.05,85.91,77.39999999999999,112.48,145.45,111.01
5,80.33,102.35000000000001,87.4,190.1,154.62,119.64
6,86.98,110.82,99.31,204.7,157.28,126.33
7,88.05,112.85,100.37,210.44,195.29999999999998,133.09
8,94.16999999999999,113.33,102.34,219.2,196.30999999999997,146.37
9,94.93,130.41,108.41000000000001,225.42000000000002,207.31,149.54
10,111.10000000000001,131.13000000000002,109.87,229.88,215.89000000000001,163.15
11,114.78,134.23999999999998,113.44,251.06,240.32,169.16
12,131.31,134.94,125.88,285.36,290.58,192.39
13,134.14,136.92,135.67,305.71,292.75,251.91000000000003
14,138.23000000000002,143.54,145.12,312.62,316.45,256.5
15,146.51,155.38,168.81,328.82,319.5,279.19
16,174.44,164.2,170.04000000000002,328.89000000000004,350.4,317.76
17,179.99,174.27,175.83,331.26,367.15,320.89
18,183.71,179.5,196.38,376.08,411.68,387.64
19,207.31,207.41,205.31,506.02,414.29,389.53000000000003
20,242.95999999999998,213.9,208.3,528.83,439.85,424.65999999999997
21,361.08000000000004,326.13,228.46,561.98,444.32,434.72
22,408.7,377.63,241.95999999999998,562.17,449.52,441.17
23,411.37,397.95000000000005,282.75,613.09,496.15999999999997,449.15000000000003
24,502.66999999999996,410.16999999999996,372.83,620.6500000000001,535.03,453.59
25,550.0600000000001,441.86,398.92,622.14,604.31,461.08000000000004
26,741.78,483.35,412.43,629.2900000000001,622.4499999999999,493.59000000000003
27,839.29,490.64,414.14000000000004,743.25,634.68,494.13
28,848.96,491.95000000000005,466.09000000000003,839.47,638.07,497.37
29,1024.3700000000001,541.11,527.17,863.44,639.02,573.09
30,1025.97,644.8299999999999,553.02,895.42,734.89,577.23
31,1101.31,712.1700000000001,593.19,916.82,750.24,610.37
32,1162.19,723.97,655.9399999999999,940.66,770.93,613.42
33,1204.02,737.4499999999999,668.8,955.32,782.25,652.75
34,1344.2,766.4599999999999,689.39,980.37,783.95,671.7900000000001
35,1514.99,801.99,701.01,986.94,798.29,690.67
36,1546.83,804.63,715.8100000000001,992.27,849.04,723.5300000000001
37,1654.54,881.14,750.0500000000001,1021.72,855.3,724.31
38,1709.52,897.48,784.61,1024.05,861.22,760.4699999999999
39,1778.7099999999998,1048.7800000000002,788.76,1137.21,864.9699999999999,803.99
40,1826.1000000000001,1052.07,803.86,1144.49,905.3100000000001,889.8499999999999
41,1862.9299999999998,1085.08,875.74,1249.5,913.4300000000001,891.34
42,2020.81,1086.36,993.8100000000001,1304.01,1041.5900000000001,913.92
43,2121.51,1105.11,1000.11,1334.03,1057.19,1001.45
44,2172.64,1146.84,1084.75,1376.02,1067.73,1006.49
45,2229.88,1232.6100000000001,1121.1200000000001,1418.23,1104.6499999999999,1026.85
46,2669.93,1237.82,1130.4099999999999,1418.37,1160.85,1036.18
47,2675.6699999999996,1375.5,1144.57,1459.98,1260.3100000000002,1075.84
48,2814.12,1382.97,1148.37,1481.4299999999998,1266.23,1092.7800000000002
49,2893.75,1464.65,1323.55,1566.92,1275.74,1227.51
50,2997.73,1496.1,1331.1,1704.95,1303.67,1280.9399999999998
51,3300.09,1569.31,1431.53,1745.34,1379.5700000000002,1282.91
52,3420.46,1610.0800000000002,1470.6299999999999,1899.14,1441.3500000000001,1344.51
53,3519.4900000000002,1768.8999999999999,1559.25,2035.79,1510.01,1370.75
54,4032.19,1813.6299999999999,1630.23,2144.66,1552.58,1382.3100000000002
55,4479.35,1918.05,1765.8999999999999,2145.75,1585.6100000000001,1425.17
56,4631.66,1933.97,1800.01,2164.9399999999996,1620.9299999999998,1430.38
57,4946.429999999999,2039.55,1887.8700000000001,2257.29,1626.05,1476.14
58,5112.35,2135.63,2031.3799999999999,2264.66,1694.7600000000002,1609.61
59,,2282.61,2042.77,2271.16,1705.77,1667.68
60,,2289.5800000000004,2421.75,2373.01,1709.41,1671.54
61,,2435.06,2447.6600000000003,2399.5099999999998,1740.86,1762.0500000000002
62,,2562.1800000000003,2450.49,2483.74,1782.99,1776.3799999999999
63,,2626.12,2577.8300000000004,2486.27,2174.91,1868.76
64,,2700.24,2578.53,3064.45,2228.91,2119.21
65,,3238.2000000000003,2708.54,3099.18,2246.81,2150.44
66,,3525.38,2884.11,3304.9900000000002,2373.87,2191.63
67,,3964.41,3289.42,3613.96,2645.15,2327.3199999999997
68,,4080.3,3342.24,4147.73,2691.29,2584.5299999999997
69,,4379.0199999999995,3909.57,4710.12,2729.4,2771.19
70,,4520.7,4039.88,4798.95,2951.38,3092.26
71,,4946.27,5316.9800000000005,5303.820000000001,3081.5600000000004,3126.0499999999997
72,,,,,3252.53,3129.1600000000003
73,,,,,3345.3,3170.44
74,,,,,3764.82,3562.6600000000003
75,,,,,3954.17,3688.9900000000002
76,,,,,4366.04,3885.26
77,,,,,5205.97,3915.34
78,,,,,,3980.6800000000003
79,,,,,,4036.96
80,,,,,,4310.83
81,,,,,,4723.52
82,,,,,,5241.629999999999
83,,,,,,5359.5599999999995
