nsolved,bioptsat-oll,bioptsat-us,bioptsat-msu3,pminimal,bioptsat-su,bioptsat-msh
1,3.56,15.09,32.4,68.95,79.47,88.23
2,32.410000000000004,40.24,41.59,109.92,107.33000000000001,105.52
3,52.6,82.97999999999999,68.33,113.42999999999999,118.48,116.93
4,74.21,103.02000000000001,77.89,181.32,143.26999999999998,117.02
5,82.82000000000001,103.74000000000001,91.17,216.65,157.55,129.42
6,85.76,112.78999999999999,100.28999999999999,220.66,169.25,132.43
7,87.51,118.86,101.25,240.55999999999997,174.29,143.64
8,88.69,121.99000000000001,104.14,251.51000000000002,192.72,156.54
9,99.23,126.6,107.21000000000001,259.55,197.31,165.48000000000002
10,101.44,129.82,107.83,283.99,208.0,170.91
11,104.14,134.5,113.54,288.52,244.74,178.93
12,122.17999999999999,135.42000000000002,134.11,310.77,273.8,247.47
13,133.5,150.01,134.8,333.81,314.83000000000004,271.84999999999997
14,133.66,150.64000000000001,149.25,345.28000000000003,347.86,297.66
15,141.82000000000002,158.84,166.27,356.62,369.83,298.82000000000005
16,171.51999999999998,166.59,167.75,376.73,384.02000000000004,312.09
17,175.6,174.38,177.16000000000003,470.69,395.2,330.89
18,212.36,176.16,197.32000000000002,496.24,468.14,400.07
19,214.72,229.17000000000002,203.32,532.97,488.74,405.46
20,249.48,236.97,204.61,588.68,496.91,429.47
21,370.12,332.59999999999997,225.01000000000002,608.39,497.41,435.58000000000004
22,407.13,355.06,246.04999999999998,667.97,508.23,457.77
23,436.59999999999997,388.42,268.87,687.2700000000001,524.16,459.88
24,464.31,403.73,428.93,724.41,528.59,498.45
25,582.1899999999999,457.95,432.45,749.0400000000001,614.37,527.07
26,744.09,480.86,449.18,788.61,627.44,533.43
27,946.74,488.19,450.85,851.6700000000001,640.3,558.9399999999999
28,947.26,495.32,463.96000000000004,884.9499999999999,669.85,588.63
29,1014.23,550.74,545.46,922.34,692.17,590.53
30,1027.72,675.63,545.88,966.3399999999999,758.26,593.92
31,1069.51,716.42,567.52,979.13,803.65,601.06
32,1179.67,717.3399999999999,655.39,994.5400000000001,804.35,622.28
33,1224.25,737.02,674.66,1031.65,820.5,653.64
34,1394.0900000000001,809.44,690.48,1046.35,889.29,700.2
35,1478.7299999999998,824.33,713.12,1147.73,902.8199999999999,738.66
36,1544.22,831.84,734.46,1199.6999999999998,913.89,764.57
37,1567.6299999999999,912.3000000000001,764.4,1206.32,939.38,789.83
38,1759.3200000000002,937.83,774.7,1208.93,973.0,813.26
39,1766.47,1021.07,829.8,1350.86,975.47,878.74
40,1960.6100000000001,1025.21,951.49,1550.45,975.9499999999999,925.93
41,1992.24,1135.9,951.84,1556.25,1049.8500000000001,933.63
42,2193.41,1193.82,1021.3199999999999,1576.3,1125.6200000000001,992.1099999999999
43,2255.7599999999998,1199.84,1101.48,1784.8100000000002,1130.36,1033.17
44,2391.14,1217.23,1114.37,1871.54,1239.3600000000001,1070.63
45,2490.35,1220.71,1155.21,1877.28,1249.26,1111.5900000000001
46,2663.45,1291.1299999999999,1160.23,1887.22,1259.68,1112.8799999999999
47,2686.81,1429.7,1193.0,1966.02,1316.05,1124.26
48,2784.2799999999997,1431.73,1272.8899999999999,2072.1,1322.09,1155.53
49,2849.61,1519.56,1312.0,2167.7599999999998,1398.9599999999998,1289.94
50,3210.06,1595.95,1403.15,2373.86,1405.4599999999998,1328.3799999999999
51,3347.4599999999996,1650.35,1493.81,2390.93,1429.15,1369.3600000000001
52,3524.0,1726.36,1498.67,2456.78,1470.38,1388.6200000000001
53,3706.46,1935.9599999999998,1643.08,2566.7400000000002,1672.99,1423.25
54,4131.5199999999995,1973.8200000000002,1708.32,2570.34,1705.87,1618.63
55,4366.45,2028.04,1816.78,2582.3999999999996,1722.1399999999999,1624.43
56,4502.34,2071.82,1946.4099999999999,2675.84,1748.0900000000001,1634.09
57,4569.209999999999,2132.48,1950.96,2693.92,1835.32,1651.56
58,4840.570000000001,2211.83,2064.86,2700.71,1837.5200000000002,1680.8100000000002
59,,2390.49,2074.84,3165.6699999999996,1926.58,1741.96
60,,2417.75,2540.64,3282.5,1934.32,1870.8300000000002
61,,2433.01,2558.98,3452.78,2064.31,1971.28
62,,2644.62,2697.9,3636.17,2071.34,1978.3100000000002
63,,2755.73,2743.3199999999997,3657.52,2378.34,2130.44
64,,2779.95,2757.72,3717.1200000000003,2702.52,2268.1400000000003
65,,3499.62,2851.5,3804.1,2775.9599999999996,2352.71
66,,3514.66,2956.03,4249.83,2858.52,2374.37
67,,4095.82,3276.3399999999997,5201.79,2918.7599999999998,2637.34
68,,4370.84,3453.77,5386.700000000001,3061.71,2790.8399999999997
69,,4389.860000000001,4117.88,,3087.06,3056.3
70,,4898.27,4158.91,,3430.2999999999997,3117.83
71,,5251.11,,,3553.94,3395.46
72,,,,,3970.52,3511.34
73,,,,,3995.9500000000003,3513.61
74,,,,,4019.52,3541.79
75,,,,,4138.030000000001,4049.09
76,,,,,,4071.49
77,,,,,,4094.1800000000003
78,,,,,,4362.0199999999995
79,,,,,,4402.75
80,,,,,,5252.54
81,,,,,,5326.5599999999995
82,,,,,,
