paretosat-msh-confmin,paretosat-msh
5400.0,5400.0
1032.5500000000002,390.09000000000003
5400.0,5400.0
5400.0,5400.0
113.33999999999999,57.58
5400.0,5400.0
5400.0,5400.0
821.98,1168.74
5400.0,5400.0
2398.5299999999997,2459.46
1046.73,591.72
1706.54,985.41
210.65,198.59
785.5899999999999,1177.38
232.47,188.35000000000002
285.57,161.46
2265.5,2507.7000000000003
5400.0,5400.0
1496.6399999999999,1641.91
5400.0,5400.0
5400.0,5400.0
693.47,750.66
136.92000000000002,88.68
252.13,159.56
1098.19,672.79
3916.6400000000003,5400.0
361.01,329.97999999999996
5400.0,5400.0
2600.34,1188.52
47.79,33.25
103.08,60.42
380.98,418.34999999999997
1587.37,1634.47
5400.0,5400.0
1336.9,793.51
5400.0,5400.0
159.24,97.26
5400.0,4018.08
810.0400000000001,536.5300000000001
5400.0,5400.0
1666.56,1109.87
5400.0,5400.0
361.51,286.01000000000005
5400.0,5400.0
77.61,112.94
141.13,82.24
483.03,838.86
5400.0,5400.0
235.76999999999998,134.22000000000003
5400.0,5400.0
391.44,166.59
2669.66,3584.44
5400.0,5400.0
5400.0,5400.0
374.8,383.64
577.59,497.46
3704.22,4814.34
670.49,484.78000000000003
5400.0,3386.7999999999997
5400.0,5400.0
5400.0,4813.34
5400.0,5400.0
362.16,624.09
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
4547.06,5202.629999999999
108.85,96.52
5400.0,5400.0
2132.62,2310.64
1248.92,1479.6299999999999
161.92000000000002,108.62
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1710.0,2538.8300000000004
1873.18,3060.8
917.99,1326.03
5400.0,5400.0
264.0,108.73
1470.41,1878.86
135.57000000000002,99.77000000000001
522.6899999999999,643.0300000000001
5400.0,5400.0
5400.0,5400.0
5400.0,3628.16
5400.0,5400.0
153.29999999999998,85.87
4577.08,2801.02
2275.81,2882.43
4377.32,2981.08
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
2644.89,1594.6299999999999
5400.0,3466.1000000000004
1204.87,1533.71
4204.32,1780.83
984.22,1049.96
1098.71,490.20000000000005
34.71,44.89
430.62,696.57
228.16000000000003,96.03
1149.54,2511.4
1175.0800000000002,804.66
1051.52,1497.79
132.5,61.489999999999995
633.7,358.09000000000003
859.73,663.55
5400.0,5400.0
5400.0,5400.0
719.62,637.9499999999999
5400.0,5400.0
5400.0,5400.0
130.91,53.03
1297.48,2039.6599999999999
3593.41,4159.68
5400.0,5400.0
86.37,43.61
