bioptsat-msh-disjoint,bioptsat-msh
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,3688.9900000000002
806.5600000000001,889.8499999999999
4026.43,5359.5599999999995
954.99,1006.49
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
495.03000000000003,453.59
5400.0,5400.0
3060.59,2584.5299999999997
498.52000000000004,461.08000000000004
5400.0,5400.0
295.11,279.19
339.63,256.5
5400.0,5400.0
532.68,573.09
1885.52,1671.54
1400.45,1280.9399999999998
5400.0,5400.0
708.9300000000001,577.23
5400.0,5400.0
5400.0,5400.0
3210.3,3170.44
5400.0,5400.0
1416.91,1609.61
5400.0,5400.0
1595.78,1476.14
5400.0,5400.0
2893.85,3980.6800000000003
126.99000000000001,119.64
110.84,100.29
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
620.33,613.42
2751.5899999999997,3126.0499999999997
712.16,724.31
4168.49,4036.96
5375.79,5241.629999999999
148.32000000000002,146.37
569.1,610.37
1021.86,1026.85
1417.76,1344.51
720.7299999999999,891.34
5400.0,5400.0
1166.15,1075.84
5400.0,5400.0
581.91,671.7900000000001
1748.3200000000002,1762.0500000000002
143.26999999999998,133.09
714.65,723.5300000000001
5400.0,5400.0
5400.0,5400.0
147.53,149.54
1006.83,1001.45
108.75,99.72
1045.46,1036.18
471.25,493.59000000000003
5400.0,5400.0
2869.94,3562.6600000000003
1282.5900000000001,1370.75
1380.5600000000002,1382.3100000000002
1942.0500000000002,2150.44
108.27,111.01
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1545.02,1425.17
1513.5700000000002,1776.3799999999999
454.63,449.15000000000003
1842.97,1667.68
5400.0,5400.0
2523.52,2327.3199999999997
386.74,441.17
5400.0,5400.0
82.34,87.48
5400.0,5400.0
615.4,497.37
119.68,126.33
4908.11,5400.0
477.38,387.64
328.21000000000004,317.76
5400.0,5400.0
3267.12,3092.26
2377.02,2119.21
855.0,913.92
2001.89,2191.63
1730.0100000000002,1868.76
345.71,320.89
741.37,760.4699999999999
2433.66,4723.52
983.7,1092.7800000000002
4761.41,3915.34
5400.0,5400.0
398.6,424.65999999999997
1640.99,1430.38
2434.2,2771.19
5400.0,5400.0
491.63,494.13
678.23,652.75
698.01,690.67
178.92000000000002,169.16
793.46,803.99
390.26,389.53000000000003
161.45,163.15
450.91999999999996,434.72
5400.0,5400.0
5400.0,5400.0
998.87,1227.51
264.69,251.91000000000003
5294.070000000001,5400.0
1371.4,1282.91
3445.96,3885.26
3068.41,3129.1600000000003
5400.0,4310.83
266.65,192.39
