increasing,decreasing
474.882,87.3633
4120.26,1001.79
3803.91,1244.76
426.265,212.483
426.828,135.17
3824.04,1341.25
389.149,47.2418
3956.4,1027.92
4360.16,729.206
556.622,147.648
360.725,34.9606
874.198,267.29
210.324,30.5625
1902.8,590.053
114.777,74.8331
262.668,153.189
271.039,35.2161
1574.51,610.612
4454.89,770.239
347.965,123.88
221.173,39.0461
4026.08,1223.21
712.169,238.074
86.8851,14.2047
4001.57,1080.56
402.483,58.9377
4928.8,316.214
1054.51,232.675
979.745,154.125
113.926,21.0018
1305.02,235.067
257.941,53.7938
4701.56,549.99
4538.52,632.938
3901.33,1352.33
2045.49,500.323
3583.14,1320.54
1069.29,221.064
466.303,65.172
1158.55,316.705
2782.77,1016.79
117.081,28.2489
728.897,146.75
3912.58,1214.5
4200.41,931.071
83.649,6.42728
4277.54,870.684
387.704,161.125
4901.99,392.008
2599.35,735.778
4324.53,833.992
4029.2,1132.19
2980.28,888.233
4307.25,808.56
788.085,183.935
362.724,86.2749
4413.14,881.639
1056.2,185.671
383.213,93.5404
4135.07,899.659
3896.1,1123.17
4127.69,951.175
3760.15,1235.12
4517.94,694.859
821.299,177.316
2016.32,576.481
421.983,36.4344
499.705,135.373
488.685,179.279
422.029,87.9937
606.902,162.095
3318.99,1010.93
4369.38,782.404
1205.83,346.541
314.28,69.8284
70.6067,50.4844
74.247,11.3476
645.864,151.297
4514.07,613.903
3689.16,1216.04
1150.29,236.141
148.251,27.3103
3432.53,1581.06
95.9401,13.8025
2273.0,685.705
4814.21,442.501
2128.52,796.071
139.656,18.5656
322.396,56.9508
1191.71,391.856
3169.43,987.671
4051.26,1105.04
1019.83,312.637
1515.94,300.477
910.663,129.668
79.4522,54.6612
2838.12,723.752
760.59,251.811
2049.14,556.872
104.289,12.8571
4254.83,813.731
2618.97,734.235
4387.38,809.382
1256.41,280.848
511.821,129.005
727.57,178.603
4481.38,727.771
3736.51,1260.12
4063.99,1082.97
888.768,171.361
1448.65,423.954
3234.52,989.112
3893.12,1137.62
1723.21,533.742
292.964,55.0779
94.4296,10.4365
1215.89,300.462
610.164,264.798
401.457,116.867
320.443,28.3222
