pminimal,bioptsat-msh
204.7,126.33
305.71,192.39
5400.0,3885.26
210.44,100.29
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1899.14,1280.9399999999998
5400.0,5359.5599999999995
622.14,389.53000000000003
5400.0,5400.0
2164.9399999999996,1776.3799999999999
2035.79,1609.61
312.62,146.37
5400.0,5400.0
839.47,671.7900000000001
506.02,424.65999999999997
562.17,317.76
225.42000000000002,163.15
2144.66,1282.91
3613.96,2584.5299999999997
5400.0,5400.0
251.06,453.59
285.36,449.15000000000003
1249.5,1001.45
5400.0,5400.0
863.44,497.37
916.82,434.72
5400.0,4310.83
1376.02,1036.18
5400.0,5400.0
4147.73,3092.26
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
2271.16,1006.49
2483.74,913.92
561.98,610.37
528.83,256.5
100.45,133.09
5400.0,3688.9900000000002
1021.72,494.13
895.42,613.42
5400.0,5400.0
5400.0,5400.0
2264.66,2191.63
5400.0,5400.0
2145.75,1667.68
5400.0,5400.0
620.6500000000001,387.64
5400.0,3170.44
5400.0,5400.0
2373.01,1762.0500000000002
5400.0,5400.0
955.32,577.23
986.94,803.99
5400.0,5241.629999999999
5400.0,5400.0
112.48,99.72
992.27,1075.84
2399.5099999999998,2119.21
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1137.21,891.34
2486.27,1430.38
1704.95,1671.54
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
219.2,169.16
5400.0,3915.34
2257.29,1425.17
1418.23,690.67
5400.0,5400.0
229.88,119.64
328.89000000000004,441.17
1566.92,1344.51
376.08,279.19
1024.05,760.4699999999999
62.1,87.48
331.26,320.89
1144.49,724.31
5400.0,3129.1600000000003
112.24,111.01
1418.37,1476.14
190.1,149.54
5400.0,2150.44
940.66,493.59000000000003
5400.0,5400.0
4798.95,3562.6600000000003
5400.0,5400.0
3304.9900000000002,1227.51
5400.0,5400.0
5400.0,5400.0
5400.0,4723.52
743.25,652.75
980.37,723.5300000000001
5400.0,5400.0
1334.03,1382.3100000000002
5400.0,4036.96
5303.820000000001,3126.0499999999997
5400.0,5400.0
3064.45,2327.3199999999997
629.2900000000001,573.09
1745.34,1026.85
613.09,461.08000000000004
328.82,251.91000000000003
5400.0,5400.0
3099.18,2771.19
4710.12,1868.76
1304.01,889.8499999999999
1481.4299999999998,1370.75
5400.0,5400.0
1459.98,1092.7800000000002
5400.0,5400.0
5400.0,3980.6800000000003
5400.0,5400.0
