single,enum
587.75,599.98
5400.0,5400.0
5400.0,5400.0
672.31,815.38
580.4,603.37
5400.0,5400.0
447.09,486.37
5400.0,5400.0
5400.0,5400.0
769.0400000000001,911.7399999999999
405.21999999999997,475.81
1234.99,1459.13
251.97,303.42999999999995
2648.9,3367.08
197.29,275.28
423.45,471.99
317.54,350.63
2444.0499999999997,2642.8500000000004
5400.0,5400.0
509.93,524.48
275.73,352.13000000000005
5400.0,5400.0
1022.0799999999999,1123.3999999999999
104.91999999999999,118.82
5400.0,5400.0
477.07,491.15
5400.0,5400.0
1401.51,1625.0600000000002
1197.05,1342.5500000000002
139.31,158.48
1615.98,1996.57
324.15999999999997,372.22
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
2709.52,3088.03
5400.0,5400.0
1367.59,1625.5800000000002
557.62,656.87
1602.8200000000002,1717.6399999999999
4099.12,4428.46
149.95,174.86
916.95,1101.1000000000001
5400.0,5400.0
5400.0,5400.0
93.17999999999999,96.67999999999999
5400.0,5400.0
569.08,718.84
5400.0,5400.0
3650.98,4674.570000000001
5400.0,5400.0
5400.0,5400.0
4154.52,4254.06
5400.0,5400.0
1029.96,1009.01
467.07,517.7
5400.0,5400.0
1304.6799999999998,1341.18
507.34000000000003,613.63
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1059.71,1151.3200000000002
2878.16,3462.7000000000003
473.24,605.78
661.98,793.2900000000001
712.7800000000001,893.4399999999999
542.58,517.79
815.64,1153.25
4645.63,5010.88
5400.0,5400.0
1719.81,1807.38
411.01000000000005,479.81
123.36,113.93
88.67,104.34
849.93,987.76
5400.0,5400.0
5400.0,5400.0
1480.2,1566.74
180.95999999999998,205.26000000000002
5400.0,5400.0
112.42999999999999,131.65
3223.9300000000003,3582.1800000000003
5400.0,5400.0
3252.2799999999997,4030.09
164.27999999999997,161.33
391.26,476.78
1763.33,1929.75
4422.0599999999995,5400.0
5400.0,5400.0
1419.3700000000001,1771.09
1930.54,2324.77
1077.98,1363.03
139.78,157.31
3761.3,3953.85
1096.8,1206.04
2838.0099999999998,3277.5
122.02,131.12
5400.0,5400.0
3627.71,4029.73
5400.0,5400.0
1612.87,1789.3500000000001
684.31,836.09
954.9,1044.15
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1121.74,1391.29
2041.52,2437.0899999999997
4541.66,5400.0
5400.0,5400.0
2483.37,3037.19
365.97999999999996,427.23
110.25,106.34
1618.62,2026.54
940.87,1073.16
538.4,667.4
357.2,457.4
