paretosat-msh-50secs,paretosat-msh
5400.0,5400.0
113.19999999999999,114.11
100.75999999999999,101.29
79.41,79.48
89.67999999999999,101.16
5400.0,5400.0
743.95,743.6999999999999
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
893.4,805.59
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
2363.0,2362.94
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
4426.89,4462.98
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
136.05,136.73000000000002
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
530.9899999999999,529.57
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
338.34,350.15
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
28.91,32.61
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
723.71,725.28
5400.0,5400.0
5400.0,5400.0
319.87,329.36
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1083.28,1051.85
74.05,75.41
5400.0,5400.0
343.63000000000005,341.7
1040.3799999999999,1027.75
5400.0,5400.0
638.5799999999999,608.53
5400.0,5400.0
174.27,173.18
5400.0,5400.0
31.369999999999997,31.96
5400.0,5400.0
5400.0,5400.0
3195.34,3183.7599999999998
5400.0,5400.0
158.64000000000001,160.85
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1036.82,1060.87
1006.86,989.71
351.74,336.83
5400.0,5400.0
65.34,65.44
2938.96,2922.2200000000003
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
182.89,196.05
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
955.09,957.45
5400.0,5400.0
459.09000000000003,487.57
908.0500000000001,861.2
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
866.15,850.08
494.75,531.15
710.96,713.14
5400.0,5400.0
5400.0,5400.0
80.27,84.22
5400.0,5400.0
5400.0,5400.0
216.17,213.32
255.25,255.9
4497.69,4487.84
5400.0,5400.0
5400.0,5400.0
62.51,55.94
55.980000000000004,55.87
