paretosat-msh-70lits,paretosat-msh
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1201.8400000000001,1238.3999999999999
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
939.2,2730.1200000000003
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
648.15,640.02
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
2622.55,5400.0
185.92,187.01999999999998
5400.0,5400.0
5400.0,5400.0
199.34,198.32999999999998
834.3499999999999,832.4100000000001
5400.0,5400.0
88.38000000000001,86.8
5400.0,5400.0
288.0,287.51
5400.0,5400.0
5400.0,5400.0
3035.27,5400.0
5400.0,5400.0
131.5,131.69
102.97,100.52
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
367.51000000000005,599.23
5400.0,5400.0
123.66999999999999,126.59
5400.0,5400.0
837.87,1704.43
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
980.3599999999999,925.9499999999999
551.29,1225.75
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
140.82,141.64
437.25,437.07
5400.0,5400.0
192.57000000000002,193.76
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
135.84,136.66
5400.0,5400.0
5400.0,5400.0
311.15,319.44
126.59,114.82
5400.0,5400.0
1026.9099999999999,1204.14
451.84,620.02
932.6899999999999,1926.8700000000001
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1629.42,1630.91
5400.0,5400.0
78.42,51.13
5400.0,5400.0
1031.84,1036.28
5400.0,5400.0
5400.0,5400.0
272.49,270.58
5400.0,5400.0
4276.97,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
812.7,1897.56
5400.0,5400.0
139.01,140.1
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
70.03,67.69
573.5899999999999,573.14
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
949.1099999999999,2092.43
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
3233.47,5400.0
5400.0,5400.0
155.57,154.46
5400.0,5400.0
1180.24,1183.15
5400.0,5400.0
5400.0,5400.0
497.32,494.5
5400.0,5400.0
