paretosat-msh-nobne,paretosat-msh
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
142.51000000000002,114.11
5400.0,5400.0
5400.0,5400.0
118.82000000000001,101.29
397.38,336.83
5400.0,5400.0
5400.0,5400.0
816.53,743.6999999999999
5400.0,5400.0
55.94,55.87
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
3393.19,4462.98
5400.0,5400.0
5400.0,5400.0
542.89,487.57
1128.04,1027.75
5400.0,5400.0
5400.0,5400.0
519.18,529.57
5400.0,5400.0
54.85,55.94
5400.0,5400.0
965.23,989.71
5400.0,5400.0
4542.08,5400.0
5400.0,5400.0
5400.0,5400.0
934.5400000000001,805.59
33.300000000000004,32.61
5400.0,5400.0
5400.0,5400.0
258.78,196.05
5400.0,5400.0
854.18,861.2
5400.0,5400.0
912.03,1051.85
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
96.98,101.16
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
316.53,341.7
263.12,255.9
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
2701.72,3183.7599999999998
228.49,160.85
5400.0,5400.0
3233.12,2362.94
5400.0,5400.0
987.65,1060.87
1019.2399999999999,725.28
5400.0,5400.0
5400.0,5400.0
84.89,75.41
5024.39,4487.84
1006.85,850.08
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
170.8,136.73000000000002
5400.0,5400.0
728.8599999999999,608.53
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
596.1400000000001,531.15
5400.0,5400.0
77.14,84.22
1043.84,957.45
5400.0,5400.0
91.85000000000001,79.48
5400.0,5400.0
35.15,31.96
5400.0,5400.0
5400.0,5400.0
441.13,350.15
203.60999999999999,173.18
5400.0,5400.0
5400.0,5400.0
195.15,213.32
5400.0,5400.0
5400.0,5400.0
724.95,713.14
3083.09,2922.2200000000003
61.9,65.44
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
344.48999999999995,329.36
