nsolved,bioptsat-oll,bioptsat-msu3,bioptsat-us,bioptsat-msh,bioptsat-su,pminimal
1,12.1,54.410000000000004,66.25999999999999,74.92,78.14,81.28
2,32.28,73.09,68.00999999999999,76.52,105.11,81.5
3,36.94,95.25,148.51999999999998,94.9,169.29,214.61999999999998
4,58.809999999999995,95.66999999999999,199.23999999999998,96.19999999999999,199.19,265.61
5,87.5,111.84,228.14,124.25999999999999,210.79999999999998,310.11
6,145.33,122.64,347.93,127.8,243.1,356.13
7,147.33,128.33,466.78999999999996,138.47,263.06,358.05
8,158.11,128.78,562.0,140.39000000000001,420.01,567.02
9,177.1,137.46,587.89,155.22,468.03999999999996,624.02
10,187.0,155.2,639.34,156.51000000000002,538.23,817.77
11,197.85999999999999,164.75,658.13,165.01000000000002,542.9,891.4499999999999
12,227.86,193.11,870.3199999999999,194.76,553.36,1032.27
13,283.37,198.17,970.34,198.60999999999999,711.92,1093.7
14,287.25,232.73,1023.1099999999999,228.0,788.75,1307.82
15,299.37,251.4,1157.78,253.25,825.69,1496.33
16,605.27,300.04,1190.4599999999998,298.46000000000004,1086.08,1700.22
17,778.64,321.72999999999996,1191.13,322.07000000000005,1319.92,1908.7299999999998
18,926.86,446.67,1306.89,401.03,1321.21,2003.25
19,1021.25,543.3499999999999,1483.7299999999998,441.85,1323.0800000000002,2161.58
20,1095.0,591.37,1612.04,544.8100000000001,1686.2,2316.18
21,1095.07,600.05,2100.8100000000004,545.17,2048.84,2333.6600000000003
22,1097.56,612.64,2601.27,598.16,2195.5299999999997,2631.71
23,1110.56,685.54,2705.97,618.6800000000001,2261.79,2853.08
24,1197.06,827.7199999999999,2958.49,688.25,2334.64,3057.3300000000004
25,1794.57,967.57,3819.19,851.62,2865.89,3063.01
26,1847.84,970.83,3954.59,865.0500000000001,2886.72,3292.3399999999997
27,1927.24,1124.6000000000001,4191.69,948.3599999999999,3044.3399999999997,
28,2221.88,1201.83,5209.29,966.87,3184.9900000000002,
29,2365.88,1221.22,5344.469999999999,969.63,3562.54,
30,2625.87,1324.8200000000002,,1047.7,4232.23,
31,2685.21,1593.1399999999999,,1049.0600000000002,4332.9800000000005,
32,3598.95,1706.33,,1096.9099999999999,4428.02,
33,4171.53,1919.1,,1118.99,4465.11,
34,4406.09,1939.98,,1127.49,4573.05,
35,,2097.55,,1525.05,5124.16,
36,,2674.32,,1603.74,,
37,,,,2952.19,,
38,,,,3329.46,,
39,,,,3528.94,,
40,,,,4210.67,,
