paretosat-msh-confmin,paretosat-msh
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
188.16,114.11
91.84,101.29
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1260.81,743.6999999999999
46.73,32.61
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,4462.98
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1484.8999999999999,531.15
5400.0,5400.0
472.32,529.57
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,4487.84
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1290.77,805.59
5400.0,5400.0
1865.31,1060.87
149.93,173.18
5400.0,5400.0
5400.0,5400.0
371.19,160.85
5400.0,5400.0
5400.0,5400.0
198.15,101.16
5400.0,5400.0
1561.39,1051.85
5400.0,5400.0
5400.0,5400.0
5400.0,1027.75
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
699.1800000000001,341.7
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,3183.7599999999998
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,2362.94
58.15,31.96
5400.0,5400.0
5400.0,5400.0
148.47,79.48
624.1899999999999,487.57
5400.0,5400.0
178.98,75.41
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1066.24,608.53
5400.0,5400.0
5400.0,2922.2200000000003
5400.0,5400.0
172.7,136.73000000000002
5400.0,5400.0
172.14999999999998,196.05
66.64,65.44
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
2945.3999999999996,989.71
5400.0,5400.0
934.14,957.45
163.73,84.22
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1518.54,861.2
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
543.6300000000001,350.15
804.86,850.08
77.17999999999999,55.94
1654.93,725.28
5400.0,5400.0
75.24,55.87
386.69,213.32
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
426.44,255.9
1189.49,713.14
5400.0,5400.0
584.51,336.83
5400.0,5400.0
5400.0,5400.0
632.5400000000001,329.36
