increasing,decreasing
4202.05,1197.78
310.704,12.1033
3966.08,1433.37
3246.19,550.618
3778.56,1621.22
5054.19,345.305
178.49,4.42023
4500.02,899.706
3975.0,1424.85
5244.48,155.331
4918.78,480.965
258.018,12.8122
4550.01,849.789
4896.75,503.046
131.152,16.0063
62.5334,5.9053
701.237,203.198
4169.99,1229.77
3936.99,1462.74
4165.44,1234.33
1544.1,26.3923
5152.29,247.357
711.491,158.386
4736.74,662.966
4566.68,833.145
4641.97,757.755
4277.1,1122.55
4388.46,1011.29
5033.96,365.709
4385.01,1014.69
4029.8,1370.0
4608.4,791.138
1159.09,238.487
3153.69,2246.03
3694.95,1704.84
2594.61,683.139
4532.78,866.957
4402.13,997.587
4331.12,1068.66
89.9204,1.62592
3273.39,2126.39
5012.91,386.901
4216.16,1183.54
335.52,73.6862
2066.75,598.285
4190.07,1209.7
3605.08,1794.69
4330.75,1068.94
4459.59,940.222
4398.57,1001.09
287.578,11.4993
652.689,78.4115
4869.24,530.446
3949.22,1450.48
5142.71,256.978
4172.0,1227.81
4119.12,1280.67
4527.1,872.665
3914.38,1485.43
138.647,11.9966
4709.36,690.483
906.5,163.117
5132.2,267.279
4597.72,802.056
756.406,149.045
591.393,34.8231
93.7578,2.02458
4495.57,904.052
5028.86,370.972
4317.07,1082.67
4327.1,1072.72
4281.39,1118.3
4576.24,823.565
681.551,231.474
4745.2,654.609
4409.02,990.759
119.4,7.91167
3498.66,1901.15
4220.45,1179.35
4912.02,487.691
5002.5,397.193
4588.89,810.897
147.323,13.8544
4531.69,868.112
5046.45,353.234
4131.45,1268.24
428.29,63.7042
4594.73,805.026
73.7026,5.14126
925.177,150.696
4273.73,1126.05
4543.49,856.284
4643.92,755.852
121.698,3.64676
4392.22,1007.51
5118.01,281.582
3553.66,1846.09
3908.68,1491.14
180.864,5.15225
758.038,172.934
4402.72,996.999
109.353,18.6674
512.588,20.8169
4579.43,820.355
521.679,22.2448
2315.04,818.793
4076.81,1322.94
4545.63,854.104
4563.49,836.378
3972.21,1427.49
4370.01,1029.71
4249.72,1150.08
201.796,5.94601
1144.95,73.2855
4507.43,892.313
462.467,84.7432
883.669,64.6508
4431.42,968.267
120.97,1.6359
344.958,50.1055
