bioptsat-msh-nolazydown,bioptsat-msh
5400.0,5400.0
5400.0,5400.0
1617.02,1397.63
5400.0,5400.0
395.92,322.85
5400.0,5400.0
5400.0,5400.0
5400.0,3796.9300000000003
5400.0,5400.0
5400.0,5400.0
382.7,182.95
81.07,78.95
81.10000000000001,68.52
5400.0,5400.0
157.95,122.67
5400.0,5400.0
5400.0,5400.0
2818.1699999999996,626.3100000000001
1228.76,1069.71
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
274.59,270.89
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
125.85,147.28
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1138.1,904.52
5400.0,5400.0
530.94,492.11
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
2141.39,1570.55
5400.0,5400.0
773.23,869.93
5400.0,5400.0
5400.0,5400.0
1049.77,913.24
942.12,299.19
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
4391.15,543.96
5400.0,5400.0
837.52,905.49
5400.0,3277.8199999999997
5400.0,5400.0
505.85,150.70000000000002
5400.0,5400.0
1223.96,931.03
953.79,91.61
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
399.38,409.29
2181.27,2665.09
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
585.91,207.78
1315.92,1075.92
937.14,731.17
5400.0,5400.0
5259.400000000001,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
180.92999999999998,95.83
5400.0,5400.0
4249.01,948.39
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
409.22999999999996,161.23
1716.79,1218.32
5400.0,5400.0
2848.76,3133.93
1268.66,127.39999999999999
5400.0,5400.0
428.09999999999997,186.06
764.67,395.18
5400.0,5400.0
783.82,533.5300000000001
5400.0,5400.0
581.61,547.36
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
724.9,125.41999999999999
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
127.60000000000001,128.10999999999999
