paretosat-msh-nolazydown,paretosat-msh
5400.0,5400.0
58.989999999999995,84.22
226.21,114.11
219.16,101.29
5400.0,5400.0
182.56,213.32
5400.0,5400.0
5400.0,5400.0
743.6800000000001,743.6999999999999
5400.0,5400.0
5400.0,5400.0
868.7,989.71
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
3659.83,4462.98
5400.0,5400.0
5400.0,5400.0
1178.1599999999999,713.14
35.16,31.96
5400.0,5400.0
5400.0,5400.0
982.14,725.28
415.04999999999995,255.9
5400.0,5400.0
132.1,79.48
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
845.6999999999999,529.57
5400.0,5400.0
5400.0,5400.0
5400.0,2362.94
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1069.9399999999998,805.59
29.2,32.61
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
2948.05,3183.7599999999998
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
160.98,101.16
5400.0,5400.0
357.63,329.36
5400.0,5400.0
5400.0,5400.0
1189.18,1051.85
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1162.8,1027.75
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
363.81,341.7
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
170.22,160.85
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
76.46000000000001,75.41
1028.45,1060.87
533.72,531.15
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
363.25,336.83
179.28,65.44
310.41999999999996,136.73000000000002
5400.0,5400.0
277.71999999999997,196.05
820.9399999999999,608.53
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1386.27,957.45
817.39,861.2
459.59999999999997,173.18
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1252.3799999999999,350.15
5400.0,5400.0
2001.11,850.08
5400.0,4487.84
5400.0,5400.0
66.22,55.94
5400.0,5400.0
1084.94,487.57
43.85,55.87
5400.0,5400.0
5400.0,5400.0
5400.0,2922.2200000000003
5400.0,5400.0
