pminimal,bioptsat-msh
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,966.87
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,3329.46
5400.0,5400.0
5400.0,5400.0
3292.3399999999997,298.46000000000004
5400.0,5400.0
5400.0,5400.0
5400.0,1525.05
1093.7,198.60999999999999
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
2003.25,545.17
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,948.3599999999999
5400.0,5400.0
5400.0,5400.0
5400.0,688.25
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
265.61,124.25999999999999
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1908.7299999999998,155.22
5400.0,5400.0
5400.0,1603.74
5400.0,5400.0
5400.0,5400.0
1496.33,544.8100000000001
2631.71,1118.99
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,1049.0600000000002
5400.0,5400.0
3057.3300000000004,2952.19
5400.0,5400.0
5400.0,5400.0
1307.82,598.16
5400.0,5400.0
1700.22,969.63
5400.0,5400.0
5400.0,618.6800000000001
5400.0,5400.0
5400.0,5400.0
5400.0,1127.49
567.02,322.07000000000005
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
3063.01,1047.7
1032.27,253.25
5400.0,4210.67
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
358.05,228.0
5400.0,5400.0
5400.0,1096.9099999999999
81.5,74.92
2316.18,865.0500000000001
5400.0,5400.0
5400.0,3528.94
5400.0,851.62
5400.0,441.85
2333.6600000000003,165.01000000000002
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
214.61999999999998,140.39000000000001
5400.0,5400.0
5400.0,5400.0
356.13,96.19999999999999
5400.0,5400.0
5400.0,5400.0
2161.58,138.47
81.28,76.52
310.11,156.51000000000002
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
624.02,194.76
5400.0,5400.0
891.4499999999999,94.9
817.77,401.03
2853.08,127.8
5400.0,5400.0
