single,enum
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1201.8400000000001,1223.72
5400.0,5400.0
5400.0,5400.0
648.15,657.57
5400.0,5400.0
5400.0,5400.0
2622.55,2908.85
185.92,192.46
5400.0,5400.0
199.34,209.89
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
837.87,949.33
5400.0,5400.0
5400.0,5400.0
980.3599999999999,1110.49
551.29,612.77
5400.0,5400.0
5400.0,5400.0
140.82,140.63
192.57000000000002,210.88
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
88.38000000000001,72.99000000000001
126.59,155.58
1026.9099999999999,1121.5600000000002
5400.0,5400.0
5400.0,5400.0
939.2,1075.56
5400.0,5400.0
5400.0,5400.0
834.3499999999999,800.19
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
437.25,433.96
367.51000000000005,419.73
131.5,132.82
5400.0,5400.0
78.42,80.68
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
1031.84,965.6600000000001
5400.0,5400.0
5400.0,5400.0
272.49,281.97
5400.0,5400.0
4276.97,4220.79
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
102.97,106.2
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
932.6899999999999,982.9200000000001
5400.0,5400.0
311.15,318.28999999999996
5400.0,5400.0
135.84,136.16
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
288.0,304.92
5400.0,5400.0
573.5899999999999,558.24
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
949.1099999999999,939.83
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
139.01,129.28
5400.0,5400.0
5400.0,5400.0
123.66999999999999,150.5
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
812.7,899.85
1180.24,1578.77
5400.0,5400.0
3035.27,3654.03
451.84,524.02
70.03,81.41999999999999
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
3233.47,3277.98
5400.0,5400.0
497.32,565.95
1629.42,1710.35
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
155.57,171.92
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
5400.0,5400.0
